PMID,FACTOR,RISK,TEXT
24612469,Cancer,Yes,"on bivariate analysis, recent diagnosis of cancer, interventional radiology placement, chemotherapy administration, number of lumens and picc-gauge were associated with picc-dvt. following multivariable adjustment, recent cancer diagnosis (or 1.95 [95% ci 1.01-3.76]) and picc gauge (hr 2.21 [95%ci 1.04-4.70] and hr 3.56 [95%ci 1.31-9.66] for 5-fr and 6-fr piccs, respectively) remained associated with thrombosis. conclusions: recent diagnosis of cancer and picc gauge are associated with picc-dvt.. ."
24612469,Performans score_performance status_karnofsky_ECOG_Less activity_bedridden > 72h,No,". because piccs are also recognized risk factors for lower-extremity dvt, lower-extremity dvt occurring while the picc was in situ was included.."
35236188,PICC infection,No,central line-associated bloodstream infection (28.1%) and symptomatic deep vein thrombosis (20.7%) were the most common complications..
29408616,Age,No,". following adjustment, picc exchange was independently associated with twofold greater risk of thrombosis (hazard ratio [hr] 1.98; 95% confidence interval [ci], 1.37-2.85) vs no exchange.."
34103988,Cancer,No,"the incidence, risk factors, and patterns of peripherally inserted central catheter-related venous thrombosis in cancer patients followed up by ultrasound. purpose: a peripherally inserted central catheter (picc) is associated with venous thromboembolism (vte) especially in patients suffering from cancer. we analyzed the incidence, risk factors, and patterns of picc-related vte in cancer patients.. ."
34103988,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),No,". after adjustment of multivariable analysis, patients with picc-related vte were more likely to have a ratio of picc diameter:vein diameter >0.35 (adjusted or, 1.689; 95% ci, 1.023-2.789) and high level of triglycerides (1.561; 1.096-2.223). conclusion: the non-o blood group, larger ratio of picc diameter:vein diameter, and high level of triglycerides were significantly associated with picc-related vte.."
29125332,Chemotherapy,Yes,"univariate analysis adjusting for the clustered sample showed that having chemotherapy, two or more previous piccs, a larger catheter size, a diagnosis of cancer and having a blood group b were all associated with an increased risk of a vt.. ."
29125332,Cancer,No,"univariate analysis adjusting for the clustered sample showed that having chemotherapy, two or more previous piccs, a larger catheter size, a diagnosis of cancer and having a blood group b were all associated with an increased risk of a vt. in the multivariate analysis, picc diameter, cancer diagnosis and blood group b were all independently associated with increased risk of vt. conclusion: patients undergoing picc insertion with a blood group b appear to have a higher risk of vt, independent of risks attached to the picc procedure and cancer diagnosis.. ."
29125332,PICC insertion procedure,No,". a cohort of patients who underwent picc insertion from september 2010 to august 2014 were followed up for symptomatic vt presentations diagnosed by ultrasound. conclusion: patients undergoing picc insertion with a blood group b appear to have a higher risk of vt, independent of risks attached to the picc procedure and cancer diagnosis.."
27078849,Cancer,No,"the risk factors for deep vein thrombosis associated with the use of piccs in cancer patients are largely unexplored. this study aimed to investigate the incidence of picc-associated thrombosis in lymphoma compared with its incidences in other types of cancer. logistic analysis revealed that a lymphoma diagnosis was a risk factor for uedvt in cancer patients inserted with picc (or: 3.849, 95% ci: 2.334-6.347).. . high risk of deep vein thrombosis associated with peripherally inserted central catheters in lymphoma. this study aimed to investigate the incidence of picc-associated thrombosis in lymphoma compared with its incidences in other types of cancer. patients with lymphoma were more likely to have picc-uedvt than those with other types of malignancies (7.1% vs. logistic analysis revealed that a lymphoma diagnosis was a risk factor for uedvt in cancer patients inserted with picc (or: 3.849, 95% ci: 2.334-6.347). patients with lymphoma may be more predisposed to developing picc-uedvt than those with other types of malignancies.."
30632436,Two or more lumens,Yes,". the logistic regression results revealed that picc-related venous thrombosis was associated with a history of venous thrombosis (or, 6.745 [3.237–14.056]), number of lumens (or, 1.934 [1.362–2.572] and or, 3.762 [1.672–5.932] for dual and triple lumens, respectively), and picc gauge (or, 1.821 [1.256–2.537] and or, 3.864 [1.367–8.251] for 5-fr and 6-fr, respectively). conclusions: a history of thrombosis, high number of lumens, and large-gauge catheters were strong risk factors for patients aged >65 years undergoing picc placement.. the logistic regression results revealed that picc-related venous thrombosis was associated with a history of venous thrombosis (or, 6.745 [3.237–14.056]), number of lumens (or, 1.934 [1.362–2.572] and or, 3.762 [1.672–5.932] for dual and triple lumens, respectively), and picc gauge (or, 1.821 [1.256–2.537] and or, 3.864 [1.367–8.251] for 5-fr and 6-fr, respectively).."
30632436,Age,Yes,objective: this study was performed to determine the risk factors associated with peripherally inserted central catheter (picc)-related venous thrombosis in patients of advanced age (>65 years).. .
30632436,History Of Thrombosis,Yes,". conclusions: a history of thrombosis, high number of lumens, and large-gauge catheters were strong risk factors for patients aged >65 years undergoing picc placement.."
34498477,PICC insertion procedure,No,". for the observation group, the position of the catheter tip was left at the level when p wave amplitude was its autonomous peak (168 patients catheterized in 2018). the total compliance rate [picc tip was located in the lower third of the superior vena cava (svc) and the cavo-atrial junction (caj)], the optimal position compliance rate (picc tip was located in the caj), and the incidence of the catheter tip malposition were compared between the two groups. results: there was no difference in the total compliance rate of picc tip position and the incidence of the catheter malposition in the two groups (p>0.05). but the optimal position compliance rate of the observation group was higher than that of the control group (p<0.05).."
34498477,PICC infection,No,"the incidence of catheter-related thrombosis, catheter dysfunction, and catheter infection within 90 days in the observation group was lower than those in the control group (p<0.05).."
33836784,PICC insertion procedure,Yes,". ledvt-related factors and d-dimer value were analyzed before and after picc insertion. results: univariate logistic regression analysis showed that picc insertion increased the risk of ledvt by 9 times and promoted the increase of d-dimer by 5 times. after risk adjustment, multivariate logistic regression analysis showed that picc insertion increased the risk of ledvt by 4 times and tripled the risk of d-dimer increase. the concentration of d-dimer was significantly increased after picc insertion. conclusions: picc insertion increases the level of d-dimer and the risk of ledvt.."
32928286,PICC infection,No,"secondary outcomes were central line-associated bloodstream infection, local infection, occlusion, thrombosis, fracture and dislodgement, phlebitis, local or systemic allergic reaction, and picc dwell time.."
25295962,Two or more lumens,No,". however, univariate analysis revealed that insertion of a 4f sl picc instead of either 5f double lumen or 6f triple lumen was associated with a reduction in picc-associated dvt (p = 0.001).. after the qi intervention, 4f sl catheter insertion substantially increased to 65.8% of all piccs inserted, whereas 6f triple-lumen catheter insertion declined to 6.8% of piccs inserted.."
25295962,Age,No,. methods: this was a 5-year retrospective cohort study with subsequent 21-month prospective observation following implementation of a qi intervention in adults (aged 18 yr or older) with cf..
25295962,PICC insertion procedure,No,". picc insertions were analyzed, and nine risk factors for dvt were analyzed to formulate a qi initiative to reduce risk of picc-associated dvt. zero episodes of dvt associated with 4f picc insertion prevented use of picc size in regression analysis.."
34107707,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),No,". the incidence of infection and the differences in saa, pct, crp, prothrombin time (pt), activated partial thromboplastin time (aptt), thrombin time (tt), fibrinogen (fig), interleukin-18 (il-18), and interleukin-16 (il-6) between the infected group and noninfected group were observed.."
34107707,PICC infection,No,"background: compared with a central venous catheter, a peripherally inserted central catheter (picc) has the advantages of less trauma and a lower risk of bleeding and bloodstream infection. the incidence of infection and the differences in saa, pct, crp, prothrombin time (pt), activated partial thromboplastin time (aptt), thrombin time (tt), fibrinogen (fig), interleukin-18 (il-18), and interleukin-16 (il-6) between the infected group and noninfected group were observed. the correlations of saa, pct, and crp levels in different infection sites and infection degrees were analyzed. results: a total of 414 eligible patients were included with 93 in the infection group and 321 in the noninfection group. the levels of saa, pct and crp in the infection group were significantly higher than those in the noninfection group (p<0.001). compared with the local infection group, the levels of saa, pct, and crp in the bloodstream infection group were significantly higher (p<0.001). furthermore, the levels of saa, pct, and crp were positively correlated with the degree of picc catheter infection. conclusions: in patients with malignant tumors, picc catheter infection were associated with increased risk of bleeding and the levels of saa, pct, and crp can be used as predictive diagnostic indexes for picc catheter infection. furthermore, these parameters were positively correlated with the degree of picc catheter infection.."
37070255,PICC indwelling time,No,"there was no significant intergroup difference in the overall rate of catheter-related complications (picc: 9.4% vs cicc: 3.8%; odds ratio [or]: 2.65; 95% confidence interval [ci]: 0.63-10.2, p = 0.145), and there were 7.7 and 9.0 complications per 1000 catheter days in the picc and cicc groups, respectively (hazard ratio [hr]: 0.61; 95% ci: 0.14-2.65, p = 0.513).. ."
25501778,PICC infection,No,"four cases of symptomatic upper extremity deep vein thrombosis (5.5%) and three cases of central line-associated bloodstream infection (4.3%, 2.72 infections per 1000 line days) were identified.."
24439240,Total parenteral nutrition,No,background & aims: peripherally inserted central venous catheters (picc) have become increasingly popular for medium to long-term parenteral nutrition (pn) but there is limited data on the complication rates in this sub-group..
24439240,PICC infection,Yes,"catheter infection rate was lower in picc (1.87 vs. however, the broviac catheter could be associated with an increase in catheter infection.."
23876203,PICC infection,No,the overall infection rate was 2.3 per 1000 catheter-days with 0.86 per 1000 catheter-days for central line-associated bloodstream infection..
25935657,Chemotherapy,No,conclusions: this study highlights the utility of a multidisciplinary approach for picc care in adults with hm receiving intensive chemotherapy.. .
28149507,Age,Yes,"occlusion and accidental withdrawal were the most common complications, with age > 65 and catheter pre-occlusive event associated with an increased likelihood of catheter occlusion.. ."
30755503,Chemotherapy,No,"conclusion: use of picc for chemotherapy administration was associated with a low all-aes rate. moreover, alternatives to piccs should be considered when administering chemotherapy to young men.. ."
30755503,Gender,No,"more research is needed to explore the interaction between aes, sex, and age.. ."
30755503,Age,No,". aes increased when picc was inserted at the brachial site (hazard ratio [hr], 1.37; 95% confidence interval [ci], 1.02-1.84) and with open systems (hr, 1.89; 95% ci, 1.24-2.88) and decreased in older men (hr, 0.63; 95% ci, 0.49-0.81).. moreover, alternatives to piccs should be considered when administering chemotherapy to young men.."
25673995,Chemotherapy,Yes,"background: peripherally inserted central catheters (piccs) are widely used in chemotherapy, but the reported picc thrombosis incidence varies greatly, and risks of picc thrombosis are not well defined. the univariable logistic regression analysis showed that complications (odds ratio [or] 1.686, p=0.032), less activity (or 1.476, p=0.006), obesity (or 3.148, p=0.000), and chemotherapy history (or 3.405, p=0.030) were associated with picc thrombosis.. ."
25673995,Cancer,No,peripherally inserted central catheter thrombosis incidence and risk factors in cancer patients: a double-center prospective investigation. this study was to investigate the incidence and risk factors of picc-related upper extremity vein thrombosis in cancer patients.. .
25673995,BMI,Yes,"the univariable logistic regression analysis showed that complications (odds ratio [or] 1.686, p=0.032), less activity (or 1.476, p=0.006), obesity (or 3.148, p=0.000), and chemotherapy history (or 3.405, p=0.030) were associated with picc thrombosis. multivariate analysis showed that less activity (or 9.583, p=0.000) and obesity (or 3.466, p=0.014) were significantly associated with picc thrombosis. less activity and obesity are risk factors of picc-related thrombosis.. ."
25673995,Performans score_performance status_karnofsky_ECOG_Less activity_bedridden > 72h,Yes,". the univariable logistic regression analysis showed that complications (odds ratio [or] 1.686, p=0.032), less activity (or 1.476, p=0.006), obesity (or 3.148, p=0.000), and chemotherapy history (or 3.405, p=0.030) were associated with picc thrombosis. multivariate analysis showed that less activity (or 9.583, p=0.000) and obesity (or 3.466, p=0.014) were significantly associated with picc thrombosis. less activity and obesity are risk factors of picc-related thrombosis.."
23440314,Cancer,No,"conclusions: in cancer patients with uncorrected profound thrombocytopaenia, the incidence of adverse events after picc implantation was low, and was limited to minor haemorrhagic adverse events. key points: • picc placement has high technical success in profound thrombocytopaenic cancer patients.. ."
23440314,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),No,"among these 143 procedures in thrombocytopaenic patients, 93 (65 %) were performed with a platelet count 20-50 × 10(9)/l and 50 (35 %) had lower than 20 × 10(9)/l.. ."
27978519,PICC insertion procedure,No,. methods: twenty-five als patients in the later stages of the disease underwent picc insertion followed by parenteral nutrition (pn)..
27978519,Total parenteral nutrition,No,methods: twenty-five als patients in the later stages of the disease underwent picc insertion followed by parenteral nutrition (pn)..
29872323,Cancer,No,". the incidence and predictors of symptomatic venous thromboembolism associated with peripherally inserted central catheters in patients with nasopharyngeal carcinoma.. in univariable analysis, body mass index (bmi), eastern cooperative oncology group (ecog) score, metastasis stage (m stage), and vte history were associated with symptomatic picc-vte.."
29872323,BMI,Yes,". in univariable analysis, body mass index (bmi), eastern cooperative oncology group (ecog) score, metastasis stage (m stage), and vte history were associated with symptomatic picc-vte.. in univariable analysis, body mass index (bmi), eastern cooperative oncology group (ecog) score, metastasis stage (m stage), and vte history were associated with symptomatic picc-vte. following multivariable adjustments, bmi (or 0.900, p=0.007), ecog score (or 4.162, p=0.011), m stage (or 2.717, p=0.019), and vte history (or 109.772, p<0.001) were still statistically significant. those with vte history and lower bmi and worse ecog performance score metastatic npc patients are more susceptible to symptomatic picc-related thrombosis and thus may require prophylactic anticoagulation.."
29872323,Performans score_performance status_karnofsky_ECOG_Less activity_bedridden > 72h,No,"those with vte history and lower bmi and worse ecog performance score metastatic npc patients are more susceptible to symptomatic picc-related thrombosis and thus may require prophylactic anticoagulation.. . in univariable analysis, body mass index (bmi), eastern cooperative oncology group (ecog) score, metastasis stage (m stage), and vte history were associated with symptomatic picc-vte. following multivariable adjustments, bmi (or 0.900, p=0.007), ecog score (or 4.162, p=0.011), m stage (or 2.717, p=0.019), and vte history (or 109.772, p<0.001) were still statistically significant. those with vte history and lower bmi and worse ecog performance score metastatic npc patients are more susceptible to symptomatic picc-related thrombosis and thus may require prophylactic anticoagulation.."
25664112,BMI,No,". the medical information of 159 patients (age, body mass index (bmi), diagnosis, smoking history, nutritional risk score, platelet count, leucocyte count as well as levels of d-dimer, fibrinogen, and degradation products of fibrin) were collected.."
25664112,Smoking,Yes,"the medical information of 159 patients (age, body mass index (bmi), diagnosis, smoking history, nutritional risk score, platelet count, leucocyte count as well as levels of d-dimer, fibrinogen, and degradation products of fibrin) were collected.. ."
25664112,Number of comorbidities/HTA/Hyperglycemia,No,". being bedridden for a long time (odds ratio [(or]), 17.774; p=0.0017), d-dimer >5 mg/l (36.651; 0.0025) and suffering from one comorbidity (8.39; 0.0265) or more comorbidities (13.705; 0.0083) were the major risk factors for picc-catheter related venous thrombosis by stepwise logistic regression analysis. being bedridden >72 h, having increased levels of d-dimer (>5 mg/l) and suffering from comorbidities were independent risk factors of picc-related venous thrombosis.."
25664112,Performans score_performance status_karnofsky_ECOG_Less activity_bedridden > 72h,Yes,". being bedridden for a long time (odds ratio [(or]), 17.774; p=0.0017), d-dimer >5 mg/l (36.651; 0.0025) and suffering from one comorbidity (8.39; 0.0265) or more comorbidities (13.705; 0.0083) were the major risk factors for picc-catheter related venous thrombosis by stepwise logistic regression analysis. being bedridden >72 h, having increased levels of d-dimer (>5 mg/l) and suffering from comorbidities were independent risk factors of picc-related venous thrombosis.."
25664112,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),Yes,"the medical information of 159 patients (age, body mass index (bmi), diagnosis, smoking history, nutritional risk score, platelet count, leucocyte count as well as levels of d-dimer, fibrinogen, and degradation products of fibrin) were collected.. ."
27033138,Two or more lumens,Yes,". background the number of peripherally inserted central catheter (picc) lumens is associated with thrombotic and infectious complications.. methods model inputs, including risk of complications and costs associated with single- and multilumen piccs, were obtained from available literature and a multihospital collaborative quality improvement project.."
27033138,PICC infection,Yes,"cost savings and reduction in central line-associated bloodstream infection and deep vein thrombosis events from institution of a single-lumen picc default policy were reported. in such facilities, every 5% increase in single-lumen picc use would prevent 0.5 picc-related central line-associated bloodstream infections and 0.5 picc-related deep vein thrombosis events, while saving $23,500.."
24246096,Cancer,No,"five baseline exposure factors, including primary lung cancer, metastatic lung cancer, chest radiotherapy, vigorous coughing and severe vomiting, were significant risk factors of picc spontaneous dislodgment.. ."
27179394,PICC indwelling time,No,"results: significant outcomes included a central-line associated blood stream infection rate that changed from 1.38/1,000 catheter days to 0/1,000 catheter days, 0 provider-led premature picc removals, an overall 84% decrease in premature picc removals (from 16%-2.5%; p < .0001), a decrease in the total complication rate from 45.5%-24% (p < .0001), and 25% reduction in radiology costs.. ."
27179394,PICC infection,No,"a novel infection prevention approach: leveraging a mandatory electronic communication tool to decrease peripherally inserted central catheter infections, complications, and cost. background: peripherally inserted central catheters (piccs) removed prematurely for unconfirmed infection or thrombosis lead to subsequent reinsertions and associated complications. results: significant outcomes included a central-line associated blood stream infection rate that changed from 1.38/1,000 catheter days to 0/1,000 catheter days, 0 provider-led premature picc removals, an overall 84% decrease in premature picc removals (from 16%-2.5%; p < .0001), a decrease in the total complication rate from 45.5%-24% (p < .0001), and 25% reduction in radiology costs. conclusion: a novel infection prevention approach leveraging a mect resulted in 0 central line-associated bloodstream infections and provider-led premature picc removals.."
24954426,ICU,Yes,"picc aes accounted for increased intensive care unit admissions, ht list inactivations, and overall cost.. ."
24954426,Transplantation,No,are peripherally inserted central catheters associated with increased risk of adverse events in status 1b patients awaiting transplantation on continuous intravenous milrinone? ..
24954426,PICC infection,No,"regression analysis found that a double lumen picc was associated with a shorter time to first picc infection (hazard ratio 7.59, 95% ci 1.97-29.23; p = .003). piccs with >1 lumen were associated with increased risk of infection.."
23838218,Two or more lumens,Yes,". immunosuppression (p<.01), power-injectable piccs (p=.05), and 3 picc lumens compared with 1 lumen (p=.02) were associated with clabsi. conclusions: immunosuppression and 3 picc lumens were associated with increased risk of clabsi.."
23838218,Power injectable PICC,Yes,"immunosuppression (p<.01), power-injectable piccs (p=.05), and 3 picc lumens compared with 1 lumen (p=.02) were associated with clabsi. power-injectable piccs were also associated with increased vt formation (p=.03). power-injectable piccs were associated with increased risk of clabsi and vt formation.. ."
23838218,Immunosuppression,Yes,"immunosuppression (p<.01), power-injectable piccs (p=.05), and 3 picc lumens compared with 1 lumen (p=.02) were associated with clabsi. conclusions: immunosuppression and 3 picc lumens were associated with increased risk of clabsi.. ."
23838218,PICC insertion procedure,No,". objective: peripherally inserted central catheter (picc) tip malposition is potentially associated with complications, and postplacement adjustment of piccs is widely performed.."
23838218,PICC infection,No,impact of postplacement adjustment of peripherally inserted central catheters on the risk of bloodstream infection and venous thrombus formation. we sought to characterize the association between central line-associated bloodstream infection (clabsi) or venous thrombus (vt) and picc adjustment..
24005884,Chemotherapy,No,"conclusions: port devices are associated with a lower risk of complications, with no difference in cost, compared to picc lines in patients with non-haematological malignancies receiving intravenous chemotherapy.. ."
24005884,PICC indwelling time,No,"major complication rate was lower in the port arm compared to the picc arm (0.047 versus 0.193 major complications/100 catheter days, p = 0.034) with 6 versus 20 % of patients experiencing major complications, respectively.. ."
27895356,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),No,"the level of blood platelet (plt) count, prothrombin activity (pta) and white blood cell (wbc) count before venous catheterisation were independent risk factors for bleeding at the puncture site and catheter-related infections.. ."
27895356,PICC infection,No,"the level of blood platelet (plt) count, prothrombin activity (pta) and white blood cell (wbc) count before venous catheterisation were independent risk factors for bleeding at the puncture site and catheter-related infections.."
31970514,PICC infection,Yes,particular attention should be payed to early identification of picc associated bloodstream infections..
30704933,Chemotherapy,No,"the use of a picc is safer than that of a cicc and maintains the effectiveness for patients with aml undergoing chemotherapy, with an approximate fourfold lower combined risk of infection or thrombosis at 30 days.. ."
30704933,Age,No,". the use of a picc is safer than that of a cicc and maintains the effectiveness for patients with aml undergoing chemotherapy, with an approximate fourfold lower combined risk of infection or thrombosis at 30 days.."
30704933,PICC infection,Yes,"using piccs, the reduction in bsi and symptomatic vt decreased mortality from cr infection and venous thromboembolism. the use of a picc is safer than that of a cicc and maintains the effectiveness for patients with aml undergoing chemotherapy, with an approximate fourfold lower combined risk of infection or thrombosis at 30 days.."
34432170,Cancer,No,"a model to assess the risk of peripherally inserted central venous catheter-related thrombosis in patients with breast cancer: a retrospective cohort study. purpose: limited risk assessment tool to stratify the risk of picc-related thrombosis (picc-rvt) in breast cancer patients. this study developed a model to assess the risk of picc-rvt in breast cancer patients. conclusion: several disease-specific factors of breast cancer (e.g., menopause, endocrine therapy, and upper extremity lymphedema) play important roles in the development of picc-rvt.. ."
34432170,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),No,"multivariable analysis identified 9 variables: chronic obstructive pulmonary disease, prior central venous catheter placement, higher level of platelets, higher level of d-dimer, lower level of activated partial thromboplastin time, menopause, no prior breast surgery, upper extremity lymphedema, and endocrine therapy.. ."
34432170,Surgery_type of surgery,No,"multivariable analysis identified 9 variables: chronic obstructive pulmonary disease, prior central venous catheter placement, higher level of platelets, higher level of d-dimer, lower level of activated partial thromboplastin time, menopause, no prior breast surgery, upper extremity lymphedema, and endocrine therapy.."
34432170,Menopause_endocrine therapy_hormone use,No,"multivariable analysis identified 9 variables: chronic obstructive pulmonary disease, prior central venous catheter placement, higher level of platelets, higher level of d-dimer, lower level of activated partial thromboplastin time, menopause, no prior breast surgery, upper extremity lymphedema, and endocrine therapy. conclusion: several disease-specific factors of breast cancer (e.g., menopause, endocrine therapy, and upper extremity lymphedema) play important roles in the development of picc-rvt.. ."
27542955,Cancer,No,the prevalence and incidence rates of crt in our al patients were higher than predicted for a general cancer patient population.. .
27542955,PICC indwelling time,Yes,"the incidence rates were 1.89 and 0.52 per 1000 catheter day in the picc and cicc groups, respectively.. ."
27020965,Chemotherapy,Yes,"background and objectives: the increasing use of peripherally inserted central venous catheters (piccs) for chemotherapy has led to the observation of an elevated risk of complications and failures. statistically significant risk factors were previous dvt (hr 2.95, 95%ci 1.33-6.53), reason for picc implant (hr 3.65, 95%ci 1.12-10.34) and 5-fluorouracil, oxaliplatin and bevacizumab based chemotherapy (hr 3.11, 95%ci 1.17-8.26). nevertheless, a 15% rate of failure has to be taken in account when planning picc insertion for chemotherapy purposes.. ."
27020965,PICC insertion procedure,No,". nevertheless, a 15% rate of failure has to be taken in account when planning picc insertion for chemotherapy purposes.."
27020965,PICC indwelling time,No,"reasons for failures were upper extremity deep venous thrombosis (uedvt) 12 (4.1%), central line associate bloodstream infection (clabsi) 5 (1.7%) with an infection rate of 0.95 per 1,000 catheter days, exit site infection 9 (3.1%) with a rate of 1.46 per 1,000 catheter days, catheter dislodgment 11 (3.8%), and occlusion 7 (2.4%).. ."
27020965,PICC infection,No,"reasons for failures were upper extremity deep venous thrombosis (uedvt) 12 (4.1%), central line associate bloodstream infection (clabsi) 5 (1.7%) with an infection rate of 0.95 per 1,000 catheter days, exit site infection 9 (3.1%) with a rate of 1.46 per 1,000 catheter days, catheter dislodgment 11 (3.8%), and occlusion 7 (2.4%).."
35034480,Cancer,No,"a previous report on breast cancer patients demonstrated the safety and efficacy of these devices, with a very low failure rate.. ."
33893843,Chemotherapy,Yes,"however, patients with higher caprini scores and higher fibrinogen levels are at increased risk for picc-rvt, as are patients receiving chemotherapy.. ."
33893843,Cancer,No,plasminogen activator inhibitor-1 gene promoter 4g/5g polymorphism and risks of peripherally inserted central catheter-related venous thrombosis in patients with lung cancer: a prospective cohort study. purpose: this study investigated the influence of plasminogen activator inhibitor-1 (pai-1) gene polymorphisms and other contributing clinical factors on peripherally inserted central catheter-related venous thrombosis (picc-rvt) in chinese patients with lung cancer.. .
33893843,Biology ( blood platelet level_white blood cell level_triglycerides_fibrinogen),No,". a higher fibrinogen level (or 1.194, 95% ci 1.004-1.420, p = 0.045) and a higher caprini score (or 1.698, 95% ci 1.103-2.614, p = 0.016) were statistically significant risk factors for picc-rvt. however, patients with higher caprini scores and higher fibrinogen levels are at increased risk for picc-rvt, as are patients receiving chemotherapy.."
34673343,PICC infection,No,"after a median follow-up of 334 [130-798] days, there were no differences in the rates of local (0.22 vs 0.21; p = 0.904) or blood-stream infections (0.13 vs 0.21; p = 0.405).."
34673343,Hypertension,No,complications associated with peripherally inserted central catheters and hickman™ in patients with advanced pulmonary hypertension treated with intravenous prostanoids..
36726149,Cancer,No,"considering the risk-benefit ratio, further well-designed trials are required to optimize the drug selection and duration for the treatment of picc-related uedvt in cancer patients.. ."
31948240,Chemotherapy,No,permanent venous access devices allow the application of chemotherapy and repeated blood sample collections with minimal impact on the quality of life in cancer patients.. .
31948240,Cancer,No,permanent venous access devices allow the application of chemotherapy and repeated blood sample collections with minimal impact on the quality of life in cancer patients.. .
32572092,Cancer,No,a longitudinal observational retrospective study on risk factors and predictive model of picc associated thrombosis in cancer patients.. .
32572092,Gender,No,"tumor, sex, age, weight, height, bmi, bsa, ps, wbc, bpc, pt, d-dimer, aptt, fib, smoking history, location, catheter length, ratio and number as independent variables were analyzed by fisher's scoring, then logistic risk regression, roc analysis and nomogram was introduced.. ."
32572092,BMI,No,". tumor, sex, age, weight, height, bmi, bsa, ps, wbc, bpc, pt, d-dimer, aptt, fib, smoking history, location, catheter length, ratio and number as independent variables were analyzed by fisher's scoring, then logistic risk regression, roc analysis and nomogram was introduced.."
32572092,Smoking,No,"tumor, sex, age, weight, height, bmi, bsa, ps, wbc, bpc, pt, d-dimer, aptt, fib, smoking history, location, catheter length, ratio and number as independent variables were analyzed by fisher's scoring, then logistic risk regression, roc analysis and nomogram was introduced.. ."
26202391,Chemotherapy,No,"multivariate logistic regression analysis showed a higher picc-related infection rate with chemotherapy (odds ratio (or) 7.2-confidence interval (ci) 95% [1.77-29.5]), auto/allograft (or 5.9-ci 95% [1.2-29.2]), and anti-coagulant therapy (or 2.2-95% [1.4-12]). conclusion: chemotherapy, auto/allograft, and anti-coagulant therapy are associated with an increased risk of developing picc-related infections. clinical advance: chemotherapy, auto/allograft, and anti-coagulant therapy are important predictors of picc-associated infections.. ."
26202391,PICC infection,No,"multivariate logistic regression analysis showed a higher picc-related infection rate with chemotherapy (odds ratio (or) 7.2-confidence interval (ci) 95% [1.77-29.5]), auto/allograft (or 5.9-ci 95% [1.2-29.2]), and anti-coagulant therapy (or 2.2-95% [1.4-12]). conclusion: chemotherapy, auto/allograft, and anti-coagulant therapy are associated with an increased risk of developing picc-related infections. clinical advance: chemotherapy, auto/allograft, and anti-coagulant therapy are important predictors of picc-associated infections. a careful assessment of these risk factors may be important for future success in preventing picc-related infections.."
26202391,Anticoagulants therapy,No,". multivariate logistic regression analysis showed a higher picc-related infection rate with chemotherapy (odds ratio (or) 7.2-confidence interval (ci) 95% [1.77-29.5]), auto/allograft (or 5.9-ci 95% [1.2-29.2]), and anti-coagulant therapy (or 2.2-95% [1.4-12]). conclusion: chemotherapy, auto/allograft, and anti-coagulant therapy are associated with an increased risk of developing picc-related infections. clinical advance: chemotherapy, auto/allograft, and anti-coagulant therapy are important predictors of picc-associated infections.."
35943390,Chemotherapy,No,conclusions: piccs were associated with significant complications in hospitalized patients who had solid malignancies and were often used for reasons other than chemotherapy.. .
35943390,PICC infection,No,"major complications were defined as central line-associated bloodstream infection, deep vein thrombosis, pulmonary embolism, and catheter occlusion. a major picc-related complication occurred in 491 patients (15.2%); catheter occlusion was the most prevalent complication (n = 322; 10.0%) followed by deep vein thrombosis (n = 116; 3.6%), central line-associated bloodstream infection (n = 82; 2.5%), and pulmonary embolism (n = 20; 0.6%). overall, 15.2% of patients experienced a complication, including central line-associated bloodstream infections, deep vein thrombosis, pulmonary embolism, or catheter occlusion.."
35763062,Age,No,". lowering platelet count threshold to 10,000/µl for peripherally inserted central catheter placement safely conserves blood products. we assessed the impact of lowering prophylactic platelet administration threshold on blood product utilization patterns and bleeding events. lowering the minimum platelet threshold from 50,000/µl to 10,000/µl resulted in less prophylactic platelet and total blood product administration with no appreciable difference in picc insertion-related bleeding.."
35763062,PICC insertion procedure,No,". the 50 k group received more platelets before picc insertion (0.870 ± 0.885 and 0.143 ± 0.430 pools of platelets-per-person, p < 0.001). immediately following picc insertion, minor bleeding occurred in five patients (two [4.3%] and three [8.6%] in the 50 k and 10 k groups, respectively). lowering the minimum platelet threshold from 50,000/µl to 10,000/µl resulted in less prophylactic platelet and total blood product administration with no appreciable difference in picc insertion-related bleeding.."
