PMID,FACTOR,RISK,TEXT,LLM_OUTPUT
37333869,PICC insertion procedure,Yes,"peripherally inserted central catheters-associated blood stream infections-occurrence, risk factors, and pathogens, a single center study. . background: peripherally inserted central catheters (piccs) are central venous catheters inserted peripherally but terminate in great vessels. piccs are widely used for patients requiring long-term intravenous therapy in both in-patient and out-patient settings. aim: this study was carried out to understand picc-related complications, specifically infections and causal pathogens, in a tertiary care hospital in kerala, south india. methods: a retrospective analysis of picc insertions and follow-up during a 9 years period to look at patient demographics and infections related to picc was carried out. results: the overall picc-related complication rate is 28.1% (4.98 per 1000 picc days). commonest complication was thrombosis followed by infection, either picc-associated bloodstream infection (pabsi) or local infection (li). pabsi noted in this study was 1.34 per 1000 catheter days. the majority (85%) of pabsi were due to gram-negative rods. the average duration of picc days for occurrence of pabsi was 14 days and the majority occurred in in-patients. conclusion: thrombosis and infection were the commonest picc-related complications. pabsi rate was comparable to that of previous studies. ",YES
37333869,PICC infection,Yes,"peripherally inserted central catheters-associated blood stream infections-occurrence, risk factors, and pathogens, a single center study. . background: peripherally inserted central catheters (piccs) are central venous catheters inserted peripherally but terminate in great vessels. piccs are widely used for patients requiring long-term intravenous therapy in both in-patient and out-patient settings. aim: this study was carried out to understand picc-related complications, specifically infections and causal pathogens, in a tertiary care hospital in kerala, south india. methods: a retrospective analysis of picc insertions and follow-up during a 9 years period to look at patient demographics and infections related to picc was carried out. results: the overall picc-related complication rate is 28.1% (4.98 per 1000 picc days). commonest complication was thrombosis followed by infection, either picc-associated bloodstream infection (pabsi) or local infection (li). pabsi noted in this study was 1.34 per 1000 catheter days. the majority (85%) of pabsi were due to gram-negative rods. the average duration of picc days for occurrence of pabsi was 14 days and the majority occurred in in-patients. conclusion: thrombosis and infection were the commonest picc-related complications. pabsi rate was comparable to that of previous studies. ",YES
26207019,Chemotherapy,Yes,"peripherally inserted central catheter-related vein thrombosis in patients with lung cancer. . background: peripherally inserted central venous catheters (piccs) are widely used in patients with cancer. catheter usage is one of the risk factors for venous thromboembolism. we aimed to scrutinize the incidence and risk factors for picc-related upper extremity venous thrombosis (uevt) in patients with lung cancer receiving chemotherapy. patients and methods: we performed a retrospective cohort study of patients with lung cancer with picc insertion undergoing chemotherapy. symptomatic picc-uevt was diagnosed by ultrasound. the relationship between chemotherapeutic agent exposure and picc-uevt was evaluated. patient-, catheter-, and insertion-related factors were analyzed in univariable and multivariable logistic regression to identify significant independent risk factors for picc-uevt in patients with lung cancer. results: a total of 328 patients with lung cancer having picc undergoing chemotherapy were included, for a total of 34 895 catheter days. seventeen (5.2%) patients developed picc-related uevt, with an incidence of 0.49 per 1000 catheter days. in multivariable logistic analysis, advanced disease was shown to be a significant risk factor for picc-uevt (odds ratio [or]: 4.9; 95% confidence interval [ci]: 1.4-16.7; p = .011). patients treated with etoposide had a higher risk of picc-related uevt (or: 3.6; 95% ci: 1.1-12.1; p = .042). patients were followed up after picc removal for a median duration of 246 days. none of the patients developed pulmonary embolism. conclusion: patients with lung cancer harboring an advanced disease or treating with etoposide were at higher risk of picc-uevt. ",Yes
26207019,Cancer,Yes,"peripherally inserted central catheter-related vein thrombosis in patients with lung cancer. . background: peripherally inserted central venous catheters (piccs) are widely used in patients with cancer. catheter usage is one of the risk factors for venous thromboembolism. we aimed to scrutinize the incidence and risk factors for picc-related upper extremity venous thrombosis (uevt) in patients with lung cancer receiving chemotherapy. patients and methods: we performed a retrospective cohort study of patients with lung cancer with picc insertion undergoing chemotherapy. symptomatic picc-uevt was diagnosed by ultrasound. the relationship between chemotherapeutic agent exposure and picc-uevt was evaluated. patient-, catheter-, and insertion-related factors were analyzed in univariable and multivariable logistic regression to identify significant independent risk factors for picc-uevt in patients with lung cancer. results: a total of 328 patients with lung cancer having picc undergoing chemotherapy were included, for a total of 34 895 catheter days. seventeen (5.2%) patients developed picc-related uevt, with an incidence of 0.49 per 1000 catheter days. in multivariable logistic analysis, advanced disease was shown to be a significant risk factor for picc-uevt (odds ratio [or]: 4.9; 95% confidence interval [ci]: 1.4-16.7; p = .011). patients treated with etoposide had a higher risk of picc-related uevt (or: 3.6; 95% ci: 1.1-12.1; p = .042). patients were followed up after picc removal for a median duration of 246 days. none of the patients developed pulmonary embolism. conclusion: patients with lung cancer harboring an advanced disease or treating with etoposide were at higher risk of picc-uevt. ",Yes
33499716,PICC infection,Yes,"technical success and safety of peripherally inserted central catheters in the great saphenous and anterior accessory great saphenous veins. . background: peripherally inserted central catheters (picc) are occasionally placed in the great saphenous vein (gsv) and anterior accessory great saphenous vein (aagsv) in patients with inadequate upper extremity veins or contraindications to upper extremity placement. outcomes on the placement of piccs in these veins are limited. objectives: this study aimed to determine technical success and safety of gsv/aagsv piccs. materials and methods: this is a retrospective study that reviewed all gsv/aagsv picc placements between january 2011 and december 2019. a total of 29 picc placements procedures were identified. the electronic medical record was queried for demographic, procedural, and complication data. technical success was defined by whether the vein could be accessed and a picc could be placed. catheter-associated infections, dislodgement or migration, malfunction, and picc-associated thrombosis were recorded. results: technical success of placement was 100%. twenty-one (72%) catheters were placed in the gsv in the mid to upper thigh and eight (28%) were placed in the aagsv. the median picc dwell time was 13 days with a range of 3-155 days. picc-associated complications occurred after 11 (37.9%) placements. line associated infection was the most common complication (17.2%). conclusion: due to a high complication rate, gsv/aagsv picc placement should be considered only when upper extremity or cervical picc placement is not feasible or contraindicated. ",Yes
35875074,Non-O blood type_ group B,Yes,"association between abo blood group and venous thromboembolism risk in patients with peripherally inserted central catheters: a meta-analysis and systematic review. . background: previous studies have evaluated the association between abo blood group and venous thromboembolism (vte) risk in patients with peripherally inserted central catheters (piccs). however, it remains unclear whether abo blood groups are associated with picc-associated vte risk. therefore, we conducted a meta-analysis of related studies to elucidate the potential role of abo blood group as a risk factor for picc-associated vte. methods: all detectable case-control and cohort studies comparing the role of abo blood group as a risk factor for picc-associated vte were collected for this analysis by searching pubmed, embase, cnki, web of science, and wanfang. we conducted a meta-analysis of the eligible studies and computed the summary risk estimates with random or fixed effects models. results: a total of four studies involving 7,804 patients were included. meta-analysis of the studies showed that the risk of picc-associated vte was significantly higher in blood types a [odds ratio (or)=1.54, 95% ci=1.17-2.03), p=0.002], b (or=2.35, 95% ci=1.71-3.23, p<0.0001), and ab (or=2.55, 95% ci=1.68-3.88, p<0.0001) and lower in blood types o (or=0.58, 95% ci=0.45-0.74, p<0.0001). subgroup analysis based on ethnicity demonstrated that blood type o may be a genetic protective factor for picc-associated vte in asians. among caucasians, individuals with blood types b and ab have a higher risk of picc-associated vte. blood types a, b, and ab are risk factors for picc-associated vte in asians. conclusions: blood type o is associated with a decreased risk of picc-associated vte, especially in asian populations. moreover, blood types a, b, and ab are risk factors for picc-associated vte. ",YES
24268631,Cancer,Yes,"peripherally inserted central catheter thrombosis--reverse tapered versus nontapered catheters: a randomized controlled study. . purpose: to compare the thrombosis rate, ease of insertion, bleeding rate, and complications of a nontapered peripherally inserted central catheter (picc) versus a reverse tapered picc. methods: this was a prospective randomized, controlled trial conducted in single center. all patients 18-90 years old requiring picc insertion were considered for the study. all patients were followed until picc removal. ultrasound examination of the arm was performed at picc removal or at 28 days. there were 332 patients randomly assigned--164 to the nontapered picc group and 168 to the reverse tapered picc group. results: the overall thrombosis rate was 71.9%. the thrombosis rate was 70.4% in the nontapered picc group and 73.4% in the reverse tapered picc group (p = .58). the symptomatic thrombosis rate was 4.3% in the nontapered picc group and 3.6% in the reverse tapered picc group (p = .75). the complete thrombosis rate was 15.6% in the nontapered picc group compared with 20.8% in the reverse tapered picc group (p = .44). there was a statistically significantly higher thrombosis rate in patients with cancer (71.9% vs 66.7%, p = .002). conclusions: this study showed a high incidence of thrombosis of peripheral veins used for picc insertion. the implication of this thrombosis is significant in light of the morbidity and potential mortality associated with this condition. a difference in thrombosis rate between devices could not be detected in this study. ",Yes
24268631,PICC insertion procedure,Yes,"peripherally inserted central catheter thrombosis--reverse tapered versus nontapered catheters: a randomized controlled study. . purpose: to compare the thrombosis rate, ease of insertion, bleeding rate, and complications of a nontapered peripherally inserted central catheter (picc) versus a reverse tapered picc. methods: this was a prospective randomized, controlled trial conducted in single center. all patients 18-90 years old requiring picc insertion were considered for the study. all patients were followed until picc removal. ultrasound examination of the arm was performed at picc removal or at 28 days. there were 332 patients randomly assigned--164 to the nontapered picc group and 168 to the reverse tapered picc group. results: the overall thrombosis rate was 71.9%. the thrombosis rate was 70.4% in the nontapered picc group and 73.4% in the reverse tapered picc group (p = .58). the symptomatic thrombosis rate was 4.3% in the nontapered picc group and 3.6% in the reverse tapered picc group (p = .75). the complete thrombosis rate was 15.6% in the nontapered picc group compared with 20.8% in the reverse tapered picc group (p = .44). there was a statistically significantly higher thrombosis rate in patients with cancer (71.9% vs 66.7%, p = .002). conclusions: this study showed a high incidence of thrombosis of peripheral veins used for picc insertion. the implication of this thrombosis is significant in light of the morbidity and potential mortality associated with this condition. a difference in thrombosis rate between devices could not be detected in this study. ",Yes
38072566,Chemotherapy,Yes,"preventive effect of aspirin on peripherally inserted central catheter-related vein thrombosis in patients with malignant tumors. . the majority of patients receiving chemotherapy undergo picc catheterization. however, piccs are significantly associated with catheter related complications, including deep vein thrombosis, blood infection, fibrin sheath, catheter prolapse, catheter displacement and blockage. of all the risks, picc-related vt was the most prevailing clinic symptom and resulted in a high risk of death. aim: the study aimed to investigate the preventive efficacy and safety of aspirin for patients with malignant tumors receiving venous thrombosis (vt) related with peripherally inserted central catheters (picc) treatment. patients and methods: a randomized controlled trial was conducted. participants with malignant tumors receiving chemotherapy who accepted picc insertion operation were randomly allocated to the aspirin treatment group (n = 235) or the control group (n = 246). the patients in the aspirin group were administrated aspirin (100mg) for 30 days, whereas the patients in control group were administrated a placebo drug. the incidence of picc-related vt in both groups and the aspirin related adverse effects were evaluated. results: the incidence of picc-related vt was 0.4% in the aspirin group, compared with 3.3% in the control group (p = 0.038). in addition, aspirin related bleeding was not observed. conclusion: picc-related vt could be effectively prevented by aspirin in patients with malignant tumors. ",YES
38072566,PICC insertion procedure,Yes,"preventive effect of aspirin on peripherally inserted central catheter-related vein thrombosis in patients with malignant tumors. . the majority of patients receiving chemotherapy undergo picc catheterization. however, piccs are significantly associated with catheter related complications, including deep vein thrombosis, blood infection, fibrin sheath, catheter prolapse, catheter displacement and blockage. of all the risks, picc-related vt was the most prevailing clinic symptom and resulted in a high risk of death. aim: the study aimed to investigate the preventive efficacy and safety of aspirin for patients with malignant tumors receiving venous thrombosis (vt) related with peripherally inserted central catheters (picc) treatment. patients and methods: a randomized controlled trial was conducted. participants with malignant tumors receiving chemotherapy who accepted picc insertion operation were randomly allocated to the aspirin treatment group (n = 235) or the control group (n = 246). the patients in the aspirin group were administrated aspirin (100mg) for 30 days, whereas the patients in control group were administrated a placebo drug. the incidence of picc-related vt in both groups and the aspirin related adverse effects were evaluated. results: the incidence of picc-related vt was 0.4% in the aspirin group, compared with 3.3% in the control group (p = 0.038). in addition, aspirin related bleeding was not observed. conclusion: picc-related vt could be effectively prevented by aspirin in patients with malignant tumors. ",YES
38072566,PICC infection,Yes,"preventive effect of aspirin on peripherally inserted central catheter-related vein thrombosis in patients with malignant tumors. . the majority of patients receiving chemotherapy undergo picc catheterization. however, piccs are significantly associated with catheter related complications, including deep vein thrombosis, blood infection, fibrin sheath, catheter prolapse, catheter displacement and blockage. of all the risks, picc-related vt was the most prevailing clinic symptom and resulted in a high risk of death. aim: the study aimed to investigate the preventive efficacy and safety of aspirin for patients with malignant tumors receiving venous thrombosis (vt) related with peripherally inserted central catheters (picc) treatment. patients and methods: a randomized controlled trial was conducted. participants with malignant tumors receiving chemotherapy who accepted picc insertion operation were randomly allocated to the aspirin treatment group (n = 235) or the control group (n = 246). the patients in the aspirin group were administrated aspirin (100mg) for 30 days, whereas the patients in control group were administrated a placebo drug. the incidence of picc-related vt in both groups and the aspirin related adverse effects were evaluated. results: the incidence of picc-related vt was 0.4% in the aspirin group, compared with 3.3% in the control group (p = 0.038). in addition, aspirin related bleeding was not observed. conclusion: picc-related vt could be effectively prevented by aspirin in patients with malignant tumors. ",YES
34373674,Number of comorbidities/HTA/Hyperglycemia,Yes,"what are the risk factors for an upper extremity deep venous thrombosis after orthopaedic irrigation and debridement and peripherally inserted central catheter placement? . background: peripherally inserted central catheter (picc) placement is necessary for delivery of intravenous (iv) antibiotics to treat bone and soft tissue infections. upper extremity deep venous thrombosis (dvt) after picc placement is a complication with unknown incidence in the orthopaedic literature. the major objectives of this study are identifying the rate of upper extremity picc-associated dvts after orthopaedic procedures;which orthopaedic subspecialties are most likely to encounter an upper extremity picc-associated dvt?what surgeries or medical comorbidities are risk factors for upper extremity picc-associated dvts?does type of dvt chemoprophylaxis decrease the risk of an upper extremity picc-associated dvt? methods: a retrospective review of electronic medical records (emr) was performed to include all patients undergoing irrigation and debridement (i&d) for treatment of orthopaedic surgery-related infections over a 10-year period. all patients with picc placement were included for analyses. age, sex, and medical comorbidities were extracted from the emr. mann-whitney non-parametric tests, fisher's exact tests, chi-square tests, and cochran-mantel-haenszel (cmh) tests were used to determine associations with dvt events for those with piccs based on medical comorbidities, picc lumen size, team placing the picc, impact of implant removal, and protective effect of dvt chemoprophylaxis. significance was set at p<0.05. results: twenty-one of 660 patients (3.18% rate) were found to have an upper extremity picc-associated dvt. a history of dvt (or=8.99 [95% ci: 3.39, 49.42]) was significantly associated with an upper extremity picc-associated dvt. the greatest risk for an upper extremity picc-associated dvt was intramedullary implant removal (or=12.43 [95% ci: 3.13, 49.52]). the type of dvt chemoprophylaxis did not significantly affect the likelihood of an upper extremity picc-associated dvt. conclusion: intramedullary implant removal and a history of dvt are risk factors for an upper extremity picc-associated dvt. the results of this study should be of particular interest to surgeons who do not typically give dvt prophylaxis and plan to perform surgery on patients with chf, a history of a dvt, or plan to manipulate the intramedullary canal. ",YES
34373674,Surgery_type of surgery,Yes,"what are the risk factors for an upper extremity deep venous thrombosis after orthopaedic irrigation and debridement and peripherally inserted central catheter placement? . background: peripherally inserted central catheter (picc) placement is necessary for delivery of intravenous (iv) antibiotics to treat bone and soft tissue infections. upper extremity deep venous thrombosis (dvt) after picc placement is a complication with unknown incidence in the orthopaedic literature. the major objectives of this study are identifying the rate of upper extremity picc-associated dvts after orthopaedic procedures;which orthopaedic subspecialties are most likely to encounter an upper extremity picc-associated dvt?what surgeries or medical comorbidities are risk factors for upper extremity picc-associated dvts?does type of dvt chemoprophylaxis decrease the risk of an upper extremity picc-associated dvt? methods: a retrospective review of electronic medical records (emr) was performed to include all patients undergoing irrigation and debridement (i&d) for treatment of orthopaedic surgery-related infections over a 10-year period. all patients with picc placement were included for analyses. age, sex, and medical comorbidities were extracted from the emr. mann-whitney non-parametric tests, fisher's exact tests, chi-square tests, and cochran-mantel-haenszel (cmh) tests were used to determine associations with dvt events for those with piccs based on medical comorbidities, picc lumen size, team placing the picc, impact of implant removal, and protective effect of dvt chemoprophylaxis. significance was set at p<0.05. results: twenty-one of 660 patients (3.18% rate) were found to have an upper extremity picc-associated dvt. a history of dvt (or=8.99 [95% ci: 3.39, 49.42]) was significantly associated with an upper extremity picc-associated dvt. the greatest risk for an upper extremity picc-associated dvt was intramedullary implant removal (or=12.43 [95% ci: 3.13, 49.52]). the type of dvt chemoprophylaxis did not significantly affect the likelihood of an upper extremity picc-associated dvt. conclusion: intramedullary implant removal and a history of dvt are risk factors for an upper extremity picc-associated dvt. the results of this study should be of particular interest to surgeons who do not typically give dvt prophylaxis and plan to perform surgery on patients with chf, a history of a dvt, or plan to manipulate the intramedullary canal. ",Yes
34373674,PICC infection,Yes,"what are the risk factors for an upper extremity deep venous thrombosis after orthopaedic irrigation and debridement and peripherally inserted central catheter placement? . background: peripherally inserted central catheter (picc) placement is necessary for delivery of intravenous (iv) antibiotics to treat bone and soft tissue infections. upper extremity deep venous thrombosis (dvt) after picc placement is a complication with unknown incidence in the orthopaedic literature. the major objectives of this study are identifying the rate of upper extremity picc-associated dvts after orthopaedic procedures;which orthopaedic subspecialties are most likely to encounter an upper extremity picc-associated dvt?what surgeries or medical comorbidities are risk factors for upper extremity picc-associated dvts?does type of dvt chemoprophylaxis decrease the risk of an upper extremity picc-associated dvt? methods: a retrospective review of electronic medical records (emr) was performed to include all patients undergoing irrigation and debridement (i&d) for treatment of orthopaedic surgery-related infections over a 10-year period. all patients with picc placement were included for analyses. age, sex, and medical comorbidities were extracted from the emr. mann-whitney non-parametric tests, fisher's exact tests, chi-square tests, and cochran-mantel-haenszel (cmh) tests were used to determine associations with dvt events for those with piccs based on medical comorbidities, picc lumen size, team placing the picc, impact of implant removal, and protective effect of dvt chemoprophylaxis. significance was set at p<0.05. results: twenty-one of 660 patients (3.18% rate) were found to have an upper extremity picc-associated dvt. a history of dvt (or=8.99 [95% ci: 3.39, 49.42]) was significantly associated with an upper extremity picc-associated dvt. the greatest risk for an upper extremity picc-associated dvt was intramedullary implant removal (or=12.43 [95% ci: 3.13, 49.52]). the type of dvt chemoprophylaxis did not significantly affect the likelihood of an upper extremity picc-associated dvt. conclusion: intramedullary implant removal and a history of dvt are risk factors for an upper extremity picc-associated dvt. the results of this study should be of particular interest to surgeons who do not typically give dvt prophylaxis and plan to perform surgery on patients with chf, a history of a dvt, or plan to manipulate the intramedullary canal. ",yes
29615373,PICC indwelling time,Yes,"interventional management of central vein occlusion in patients with peripherally inserted central catheter placement. . objective: this study evaluated the incidence of central vein occlusion (cvo) and analyzed the interventional management for cvo during peripherally inserted central catheter (picc) placement to suggest an adequate management protocol to ensure the success and patency of piccs. methods: we retrospectively reviewed the records of 2568 piccs to identify cvo in two medical centers between january 2016 and june 2017. procedural images were reviewed for the following items: date and indication for the picc; type of catheter; accessed vein and arm; characteristics of cvo on ascending arm venography; picc placement technique; indwelling period of the picc; and follow-up records. a guidewire passage trial was performed to the cvo, as follows: a trial with a 0.018-inch single or double guidewire through the pretrimmed picc lumen; and a trial with a combination of a 0.035-inch guidewire and a curved 5f diagnostic catheter through the picc introducer sheath. results: the incidence of cvo was 3.2% (71/2232), and 59 patients were analyzed (23 men; mean age, 69 ± 11 years; median age, 80 years; age range, 31-92 years). forty-four patients had thrombotic cvo, and 12 patients had acute thrombotic cvo. thirty-six patients had occlusion of the left innominate vein, and six patients had contiguous involvement of the adjacent central vein. forty-two patients had obtuse stump morphology of cvo, and 28 patients had grade >iii collateral development. the picc indwelling time was statistically different between the group with successful catheter advancement (n = 36, success group) and the group with failed catheter advancement (n = 18, failure group; p = .007) with ipsilateral trimmed piccs. eight patients had a symptomatic catheter associated with upper extremity deep venous thrombosis (uedvt; <30 days), one in the success group and seven in the failure group. the incidence of catheter-associated uedvt after primary picc placement on each arm was statistically different between the success and failure groups (p = .004). conclusions: a picc passage trial for ipsilateral cvo is challenging but frequently successful with a simple guidewire technique, which can preserve catheter patency, decrease contralateral arm access, and prevent the development of new catheter-associated uedvt. ",YES
26349890,Chemotherapy,Yes,"peripherally inserted central catheter-related vein thrombosis in breast cancer patients. . purpose: to identify clinical incidence, risk factors and treatment of peripherally inserted central venous catheters (piccs)-related upper extremity venous thrombosis (uevt) in breast cancer patients undergoing chemotherapy. methods: we performed a retrospective cohort study of breast cancer patients with picc insertion undergoing chemotherapy. picc-related uevt was diagnosed by ultrasound. patient-, catheter- and insertion-related factors were analyzed in univariable and multivariable logistic regression to identify significant independent risk factors for picc-related uevt. the incidence and treatment of picc-related uevt were also analyzed. results: a total of 568 breast cancer patients with picc undergoing chemotherapy were included, for a total of 54,769 catheter days; 8 patients (1.4%) developed picc-related uevt. the median time of developing uevt was 11 days (range of 3 to 79 days). in multivariable analysis, metastasis (p = 0.002) and malposition (p = 0.013) were shown to be significant risk factors for picc-related uevt. all patients were treated with low-molecular-weight heparin (lmwh) and followed until piccs were removed. none of the patients developed pulmonary embolus. conclusions: metastasis and malposition were significant risk factors for picc-related uevt in breast cancer patients. with early diagnosis and standardized anticoagulant treatment, a better clinical outcome could be achieved. further prospective and large sample studies are needed. ",Yes
26349890,Cancer,Yes,"peripherally inserted central catheter-related vein thrombosis in breast cancer patients. . purpose: to identify clinical incidence, risk factors and treatment of peripherally inserted central venous catheters (piccs)-related upper extremity venous thrombosis (uevt) in breast cancer patients undergoing chemotherapy. methods: we performed a retrospective cohort study of breast cancer patients with picc insertion undergoing chemotherapy. picc-related uevt was diagnosed by ultrasound. patient-, catheter- and insertion-related factors were analyzed in univariable and multivariable logistic regression to identify significant independent risk factors for picc-related uevt. the incidence and treatment of picc-related uevt were also analyzed. results: a total of 568 breast cancer patients with picc undergoing chemotherapy were included, for a total of 54,769 catheter days; 8 patients (1.4%) developed picc-related uevt. the median time of developing uevt was 11 days (range of 3 to 79 days). in multivariable analysis, metastasis (p = 0.002) and malposition (p = 0.013) were shown to be significant risk factors for picc-related uevt. all patients were treated with low-molecular-weight heparin (lmwh) and followed until piccs were removed. none of the patients developed pulmonary embolus. conclusions: metastasis and malposition were significant risk factors for picc-related uevt in breast cancer patients. with early diagnosis and standardized anticoagulant treatment, a better clinical outcome could be achieved. further prospective and large sample studies are needed. ",Yes
26349890,PICC insertion procedure,Yes,"peripherally inserted central catheter-related vein thrombosis in breast cancer patients. . purpose: to identify clinical incidence, risk factors and treatment of peripherally inserted central venous catheters (piccs)-related upper extremity venous thrombosis (uevt) in breast cancer patients undergoing chemotherapy. methods: we performed a retrospective cohort study of breast cancer patients with picc insertion undergoing chemotherapy. picc-related uevt was diagnosed by ultrasound. patient-, catheter- and insertion-related factors were analyzed in univariable and multivariable logistic regression to identify significant independent risk factors for picc-related uevt. the incidence and treatment of picc-related uevt were also analyzed. results: a total of 568 breast cancer patients with picc undergoing chemotherapy were included, for a total of 54,769 catheter days; 8 patients (1.4%) developed picc-related uevt. the median time of developing uevt was 11 days (range of 3 to 79 days). in multivariable analysis, metastasis (p = 0.002) and malposition (p = 0.013) were shown to be significant risk factors for picc-related uevt. all patients were treated with low-molecular-weight heparin (lmwh) and followed until piccs were removed. none of the patients developed pulmonary embolus. conclusions: metastasis and malposition were significant risk factors for picc-related uevt in breast cancer patients. with early diagnosis and standardized anticoagulant treatment, a better clinical outcome could be achieved. further prospective and large sample studies are needed. ",Yes
33383236,Chemotherapy,Yes,"the caprini thrombosis risk model predicts the risk of peripherally inserted central catheter-related upper extremity venous thrombosis in patients with cancer. . background: a peripherally inserted central catheter (picc) is often necessary for patients receiving chemotherapy, but there is a risk of picc-related venous thrombosis (vt). we sought to use the caprini thrombosis risk model and color doppler flow imaging for the dynamic monitoring of an eventual thrombosis in patients receiving chemotherapy. methods: this prospective study was carried out from january 2018 to may 2019 in patients who underwent picc implantation and maintenance at the first affiliated hospital of fujian medical university. the outcome event was the occurrence of picc-related upper extremity venous thrombosis confirmed by color doppler flow imaging. results: a total of 201 participants were enrolled, of whom 108 (53.7%) developed vt. three participants (1.5%) developed symptomatic vt. univariable logistic regression analysis suggested that the caprini score (odds ratio [or], 1.243; 95% confidence interval [ci], 1.074-1.438; p = .003), the picc model (or, 0.448; 95% ci, 0.223-0.901; p = .024), and a previous history of picc-related deep vein thrombosis (or, 9.388; 95% ci, 1.178-74.786; p = .034) were associated with picc-related upper extremity vt. multivariable logistic regression analysis showed that only the caprini score (or, 1.188; 95% ci, 1.018-1.386; p = .029) was an independent risk factor for picc-related venous thrombus. a receiver operating characteristic curve analysis showed the caprini risk assessment model had a predictive value for upper extremity vt, with an area under the curve of 0.615 (95% ci, 0.538-0.693), 74.1% sensitivity, and 44.1% specificity. conclusions: the caprini score is an independent predictor of the development of picc-related vt in patients with cancer. however, the moderate sensitivity and low specificity of the caprini risk assessment model may limit its predictive value in the clinical setting. ",YES
33383236,Cancer,Yes,"the caprini thrombosis risk model predicts the risk of peripherally inserted central catheter-related upper extremity venous thrombosis in patients with cancer. . background: a peripherally inserted central catheter (picc) is often necessary for patients receiving chemotherapy, but there is a risk of picc-related venous thrombosis (vt). we sought to use the caprini thrombosis risk model and color doppler flow imaging for the dynamic monitoring of an eventual thrombosis in patients receiving chemotherapy. methods: this prospective study was carried out from january 2018 to may 2019 in patients who underwent picc implantation and maintenance at the first affiliated hospital of fujian medical university. the outcome event was the occurrence of picc-related upper extremity venous thrombosis confirmed by color doppler flow imaging. results: a total of 201 participants were enrolled, of whom 108 (53.7%) developed vt. three participants (1.5%) developed symptomatic vt. univariable logistic regression analysis suggested that the caprini score (odds ratio [or], 1.243; 95% confidence interval [ci], 1.074-1.438; p = .003), the picc model (or, 0.448; 95% ci, 0.223-0.901; p = .024), and a previous history of picc-related deep vein thrombosis (or, 9.388; 95% ci, 1.178-74.786; p = .034) were associated with picc-related upper extremity vt. multivariable logistic regression analysis showed that only the caprini score (or, 1.188; 95% ci, 1.018-1.386; p = .029) was an independent risk factor for picc-related venous thrombus. a receiver operating characteristic curve analysis showed the caprini risk assessment model had a predictive value for upper extremity vt, with an area under the curve of 0.615 (95% ci, 0.538-0.693), 74.1% sensitivity, and 44.1% specificity. conclusions: the caprini score is an independent predictor of the development of picc-related vt in patients with cancer. however, the moderate sensitivity and low specificity of the caprini risk assessment model may limit its predictive value in the clinical setting. ",Yes
24612469,Two or more lumens,Yes,"peripherally inserted central catheter-related deep vein thrombosis: contemporary patterns and predictors. . background: despite growing use, peripherally inserted central catheters (piccs) are associated with risk of deep vein thrombosis (dvt). we designed a study to determine patient, provider and device factors associated with this outcome. methods: this was a retrospective cohort study of adults who underwent picc placement between 1 june 2009 to 30 june 2012. symptomatic picc-associated dvt was confirmed by ultrasound. because piccs are also recognized risk factors for lower-extremity dvt, lower-extremity dvt occurring while the picc was in situ was included. multivariable logistic and cox-proportional hazards regression models were fit to examine the association between covariates specified a priori and picc-dvt. odds ratios (ors) and hazard ratios (hrs) with corresponding 95% confidence intervals (cis) were generated. results: of 966 unique picc placements, 33 patients developed symptomatic picc-associated dvt and 9 developed lower-extremity dvt, accounting for 42 thrombotic events. on bivariate analysis, recent diagnosis of cancer, interventional radiology placement, chemotherapy administration, number of lumens and picc-gauge were associated with picc-dvt. following multivariable adjustment, recent cancer diagnosis (or 1.95 [95% ci 1.01-3.76]) and picc gauge (hr 2.21 [95%ci 1.04-4.70] and hr 3.56 [95%ci 1.31-9.66] for 5-fr and 6-fr piccs, respectively) remained associated with thrombosis. conclusions: recent diagnosis of cancer and picc gauge are associated with picc-dvt. these findings have important clinical ramifications and suggest that placement of large gauge piccs or piccs in patients with cancer may provoke thrombosis. improved policies and procedural oversights in these areas appear necessary to prevent picc-dvt. ",Yes
