PMID,FACTOR,RISK,TEXT
33908337,Antibiotic therapy,No,". adjusting for known risk factors, antimicrobial piccs were not associated with infection reduction (hr, 1.16; 95% ci, 0.82-1.64), and antithrombogenic piccs were not associated with reduction in thrombosis and occlusion (hr, 1.15; 95% ci, 0.92-1.44). conclusions: antimicrobial and antithrombogenic piccs were not associated with a reduction in major catheter complications.."
33908337,Medical department admission (including ICU),No,"multivariable cox proportional hazards models with robust sandwich standard error estimates accounting for the clustered nature of data were used to identify factors associated with picc complications in coated versus noncoated devices across general care, intensive care unit (icu), and oncology patients.. ."
25953205,Advanced Age,Yes,"after multivariate analysis, two risk factors were significantly associated with the overall occurrence of complications: age more than 70 years [or = 2.89 (1.06-7.89], p = 0.04] and number of lumen at least two [or = 2.64 (1.03-6.75), p = 0.04].. ."
29489707,Two or more lumens,No,. the discovery that alteplase use increased with the number of picc lumens allowed for exploration of ordering and placement practices..
34973357,Two or more lumens,No,". in multivariate cox analysis, independent risk factors for picc-associated complications were obesity (adjusted hazard ratio (ahr), 1.08, p < .001) and diabetes (ahr, 1.85, p = .039), adjusting for chronic renal failure, number of lumens, catheter/vein diameter ratio and duration of home-based care. the number of catheter lumens is one of the modifiable factors to reduce complications.."
33652363,Two or more lumens,No,. the likelihood of specifying picc lumens increased when vascular access protocols were in place (p = 0.001)..
33652363,Medical department admission (including ICU),No,". respondents whom were trainees, from larger hospitals, and from closed icus were more likely to use ultrasound (p < 0.001). 2/3 of respondents (n = 173, 66%) stated more research on icu vascular access was needed.."
36960818,Two or more lumens,No,". compared to multilumen piccs, single-lumen piccs carry a lower rate of complications, including central-line-associated bloodstream infection and thrombosis.."
26519981,Medical department admission (including ICU),No,"purpose: there are limited contemporary data describing the rates of catheter-related deep vein thrombosis (crdvt) and central line-associated bloodstream infection for peripherally inserted central venous catheters (piccs) and centrally inserted central venous catheters (ciccs) in the medical intensive care unit (icu).. . purpose: there are limited contemporary data describing the rates of catheter-related deep vein thrombosis (crdvt) and central line-associated bloodstream infection for peripherally inserted central venous catheters (piccs) and centrally inserted central venous catheters (ciccs) in the medical intensive care unit (icu). central lines were followed from insertion time until hospital dismissal (primary analysis) or icu discharge (secondary analysis). only 1 central line-associated bloodstream infection occurred in a picc following icu dismissal, p > .999.."
35382174,Medical department admission (including ICU),No,"background:  central line-associated bloodstream infections (clabsis) remain an important preventable healthcare-associated infection with a 2020 rate of 0.87 (per 1,000 central line days) in the united states intensive care units (icu).. ."
25377903,PICC dwell time,No,"results: of the 163 patients who represented 19104 home-catheter days, 19 (11.7%) patients experienced 25 catheter complications (ccs; 12 occlusions, 11 central line-associated bloodstream infections, one thrombosis and one line dislodgment).. ."
33019880,Chemotherapy,No,"methods: adult outpatients (aged 18-75 years), with an eastern cooperative oncology group (ecog) performance status of 0-2, bearing solid tumors and candidates for intravenous chemotherapy were eligible for the study.. ."
30348912,Advanced Age,No,"the rate of blockage of piccs, proportion of male subjects, age of subjects, apache ii score and length of stay in hospital showed no significant differences between the two groups.. ."
30348912,Hospital length of stay,No,". the rate of blockage of piccs, proportion of male subjects, age of subjects, apache ii score and length of stay in hospital showed no significant differences between the two groups.."
25248408,PICC dwell time,No,the cr-bsi rate in the picc group was significantly lower than that in the ccvc group (piccs: 1.23/1000 catheter days; ccvcs: 5.30/1000 catheter days; p < 0.01).. .
33084898,Antibiotic therapy,No,". objective: to evaluate whether infectious disease physician approval prior to picc placement for intravenous antimicrobials is associated with more appropriate device use and fewer complications. conclusions and relevance: this cohort study suggests that, when piccs were placed for intravenous antimicrobial therapy, infectious disease physician approval of picc insertion was associated with more appropriate device use and fewer complications.."
28822403,Medical department admission (including ICU),Yes,"peripherally inserted central venous catheters (piccs) are now commonly used for central access in the intensive care unit (icu) setting; however, there is a paucity of data evaluating the complication rates associated with these lines.. . peripherally inserted central venous catheters (piccs) are now commonly used for central access in the intensive care unit (icu) setting; however, there is a paucity of data evaluating the complication rates associated with these lines. these were divided into two groups: those placed at the bedside in the icu and those placed by interventional radiology in non-icu patients. the combined thrombotic and central line associated blood stream infection rate was 6.17 per cent in the non-icu group and 10.53 per cent in the icu group (p = 0.035). the thrombotic complication rate was 5.88 per cent in the non-icu group and 7.60 per cent in the icu group (p = 0.38), whereas the central line associated blood stream infection rate was 0.29 per cent in the non-icu group and 2.92 per cent in the icu group (p = 0.002). this study seems to suggest that picc lines placed at the bedside in the icu setting are associated with higher complication rates, in particular infectious complications, than those placed by interventional radiology in non-icu patients.."
27397766,PICC dwell time,Yes,"discussion: midline catheters (mc) offer a comparable rate of device-related bloodstream infection to standard peripheral intravenous catheters (piv), but with a significantly lower rate than peripherally inserted central catheters (picc) and central venous catheters (cvc) (piv 0.2/1000, mc 0.5/1000, picc 2.1-2.3/1000, cvc 2.4-2.7/1000 catheter days).. ."
25782897,Medical department admission (including ICU),No,objective: little is known about patient-specific factors contributing to central line-associated bloodstream infection (clabsi) outside of the intensive care unit (icu).. . central line-associated bloodstream infections in non-icu inpatient wards: a 2-year analysis. objective: little is known about patient-specific factors contributing to central line-associated bloodstream infection (clabsi) outside of the intensive care unit (icu)..
26368787,Hospital length of stay,No,"objective: to estimate, from a us payer perspective, the cost offsets of treating gram positive acute bacterial skin and skin-structure infections (absssi) with varied hospital length of stay (los) followed by outpatient care, as well as the cost implications of avoiding hospital admission.. objective: to estimate, from a us payer perspective, the cost offsets of treating gram positive acute bacterial skin and skin-structure infections (absssi) with varied hospital length of stay (los) followed by outpatient care, as well as the cost implications of avoiding hospital admission. the value of new absssi therapies will be driven by eliminating the need for picc line, reducing length of stay and the ability to completely avoid a hospital stay.. ."
31387123,Antibiotic therapy,No,". background: a key factor in the successful treatment of periprosthetic joint infection is the consistent antimicrobial therapy. depending on the pathogen antimicrobial susceptibility, intravenous (i. v.) antibiotics may not be switched to oral medication at patient discharge, without risking a treatment failure. therapy using peripherally inserted central catheters (piccs) allows for early discharge with continuation of adequate antimicrobial therapy.. depending on the pathogen antimicrobial susceptibility, intravenous (i. v.) antibiotics may not be switched to oral medication at patient discharge, without risking a treatment failure.."
26269383,Parenteral nutrition,No,comparison of complications associated with peripherally inserted central catheters and hickman™ catheters in patients with intestinal failure receiving home parenteral nutrition..
26269383,PICC dwell time,Yes,the incidence of catheter-related blood stream infection (crbsi) per 1000 catheter days was significantly lower for hickman™ catheters compared to piccs (0.56 vs.. .
31565960,Antibiotic therapy,Yes,". the antimicrobial classes commonly associated with complications were cephalosporins, carbapenems, and penicillins.."
37146111,Parenteral nutrition,Yes,"statistical analysis identified previous marsi history, the need for total parenteral nutrition support, other catheter-related complications, a history of allergy, and picc implantation as associated with a higher likelihood of developing for marsi. conclusions: we evaluated patients with cancer who were undergoing cvad and identified that previous marsi history, patients needing total parenteral nutrition support, other catheter-related complications, allergic history, and picc implantation (compared with ports) were associated with a higher likelihood for developing marsi.."
32770871,Parenteral nutrition,No,"results: twelve clinical evidence summaries containing evidence related to the safe and effective use of central venous catheters are presented, including the following topics: central venous catheter insertion (cvc), peripherally inserted central catheters (picc), preoperative assessment, the use of analgesia, field preparation, choice between cvc or picc, cvc care and maintenance, prevention of complications, and general considerations pertaining to the use of central venous catheters in oncologic patients and in parenteral nutrition.."
29377971,Two or more lumens,No,". compared to piccs placed for >5 days, variables associated with short-term piccs included difficult venous access (odds ratio [or], 1.54; 95% confidence interval [ci], 1.40-1.69), multilumen devices (or, 1.53; 95% ci, 1.39-1.69), and teaching hospitals (or, 1.25; 95% ci, 1.04-1.52).."
35108580,PICC dwell time,No,". not accompanied by chronic comorbidities (hr 0.34; 95% ci, 0.131-0.887; p = .028) and longer duration of picc use (days) (hr 0.997; 95% ci, 0.994-0.999; p = .008) might be protective factors preventing crbsi.."
34663558,Antibiotic therapy,No,". reducing catheter related bloodstream infection risk of infant with a prophylactic antibiotic therapy before removing peripherally inserted central catheter: a retrospective study. the incidence of post-catheter removal clinical sepsis between the groups with or without antibiotics was compared. the antibiotic group was defined by receiving a single dose of vancomycin or any other antibiotic prior to line removal. a 9.3-fold decrease in the odds for clinical sepsis was observed in the antibiotic group (p = 0.01). the incidence of post-catheter removal sepsis was decreased by a single prophylactic dose of vancomycin (p = 0.02), whereas the use of other antibiotics showed no effect (p = 0.35).."
36767070,Parenteral nutrition,No,a higher percentage of use of parenteral nutrition (p = 0.036) and transfusions (p = 0.003) was observed during the post-transplant phase in the hospital..
25120012,Parenteral nutrition,No,purpose: few prospective follow-up studies evaluating the use of peripherally inserted central catheters (piccs) to deliver chemotherapy and/or home parenteral nutrition (hpn) have focused exclusively on oncology outpatients..
25120012,PICC dwell time,No,"the incidence of catheter-related bloodstream infections (crbsis) was low (0.05 per 1,000 catheter days), picc-related symptomatic thrombosis was rare (1.1 %; 0.05 per 1,000 catheter days), and mechanical complications were uncommon (13.1 %; 0.63 per 1,000 catheter days).. ."
34842905,Two or more lumens,No,". after adjusting for patient characteristics, comorbidities, catheter lumens, and dwell time in logit models, patients who received piccs had a greater risk of developing a major complication compared with those who received midlines (odds ratio, 1.99; 95% ci, 1.61-2.47).."
36921694,Medical department admission (including ICU),No,"we analyzed following 10 variables: gender, age, length of stay (los) before clabsi acquisition, cl-days before clabsi acquisition, cl-device utilization (du) ratio, cl-type, tracheostomy use, hospitalization type, intensive care unit (icu) type, and facility ownership, following variables were independently associated with clabsi: los before clabsi acquisition, rising risk 3% daily (aor=1.03;95%ci=1.02-1.04; p < .0001); number of cl-days before clabsi acquisition, rising risk 4% per cl-day (aor=1.04;95%ci=1.03-1.05; p < .0001); publicly-owned facility (aor=2.33;95%ci=1.79-3.02; p < .0001).. . multinational prospective cohort study of incidence and risk factors for central line-associated bloodstream infections in icus of 8 latin american countries. we analyzed following 10 variables: gender, age, length of stay (los) before clabsi acquisition, cl-days before clabsi acquisition, cl-device utilization (du) ratio, cl-type, tracheostomy use, hospitalization type, intensive care unit (icu) type, and facility ownership, following variables were independently associated with clabsi: los before clabsi acquisition, rising risk 3% daily (aor=1.03;95%ci=1.02-1.04; p < .0001); number of cl-days before clabsi acquisition, rising risk 4% per cl-day (aor=1.04;95%ci=1.03-1.05; p < .0001); publicly-owned facility (aor=2.33;95%ci=1.79-3.02; p < .0001). icu with highest risk was medical-surgical (aor=2.61;95%ci=1.41-4.81; p < .0001).."
36921694,Hospital length of stay,Yes,". we analyzed following 10 variables: gender, age, length of stay (los) before clabsi acquisition, cl-days before clabsi acquisition, cl-device utilization (du) ratio, cl-type, tracheostomy use, hospitalization type, intensive care unit (icu) type, and facility ownership, following variables were independently associated with clabsi: los before clabsi acquisition, rising risk 3% daily (aor=1.03;95%ci=1.02-1.04; p < .0001); number of cl-days before clabsi acquisition, rising risk 4% per cl-day (aor=1.04;95%ci=1.03-1.05; p < .0001); publicly-owned facility (aor=2.33;95%ci=1.79-3.02; p < .0001).."
36507144,Antibiotic-coated catheters,No,"does the antimicrobial-impregnated peripherally inserted central catheter decrease the clabsi rate in neonates? results from a retrospective cohort study. background: the use of antimicrobial-impregnated peripherally inserted central catheters (piccs) has been introduced in the last few years to neonatal units aiming to reduce central line-associated bloodstream infection (clabsi). the use of the antimicrobial-impregnated catheter was not associated with any significant reduction in the clabsi rate (per 1,000 days dwell time), either the overall [p = 0.11, risk ratio (rr) (95% ci): 0.60 (0.32, 1.13)] or the yearly clabsi rates.. ."
36507144,Antibiotic therapy,No,". does the antimicrobial-impregnated peripherally inserted central catheter decrease the clabsi rate in neonates? results from a retrospective cohort study. background: the use of antimicrobial-impregnated peripherally inserted central catheters (piccs) has been introduced in the last few years to neonatal units aiming to reduce central line-associated bloodstream infection (clabsi). the use of the antimicrobial-impregnated catheter was not associated with any significant reduction in the clabsi rate (per 1,000 days dwell time), either the overall [p = 0.11, risk ratio (rr) (95% ci): 0.60 (0.32, 1.13)] or the yearly clabsi rates.."
25374804,Medical department admission (including ICU),No,"some limits previously ascribed to piccs (i.e., low flow rates, difficult central venous pressure monitoring, lack of safety for radio-diagnostic procedures, single-lumen) have delayed their start up in the intensive care units as common practice.. . some limits previously ascribed to piccs (i.e., low flow rates, difficult central venous pressure monitoring, lack of safety for radio-diagnostic procedures, single-lumen) have delayed their start up in the intensive care units as common practice. second, an inappropriate cvad choice and, particularly, an inadequate insertion technique are relevant-and often not recognized-potential risk factors for complications in critically ill patients.."
37151085,Medical department admission (including ICU),No,". multinational prospective cohort study of incidence and risk factors for central line-associated bloodstream infections over 18 years in 281 icus of 9 asian countries. we analyzed following variables: gender, age, length of stay (los) before clabsi acquisition, cl-days before clabsi acquisition, cl-device utilization ratio, cl-type, tracheostomy use, hospitalization type, icu type, facility ownership and world bank classifications by income level. icu with highest risk was pediatric (aor = 2.86; 95% ci 1.71-4.82; p < 0.0001), followed by medical-surgical (aor = 2.46; 95% ci 1.62-3.75; p < 0.0001). conclusions: the following clabsi rfs are unlikely to change: country income level, facility-ownership, hospitalization type, and icu type.."
37151085,Hospital length of stay,Yes,". we analyzed following variables: gender, age, length of stay (los) before clabsi acquisition, cl-days before clabsi acquisition, cl-device utilization ratio, cl-type, tracheostomy use, hospitalization type, icu type, facility ownership and world bank classifications by income level.. following were independently associated with clabsi: los before clabsi acquisition, rising risk 4% daily (aor = 1.04; 95% ci = 1.03-1.04; p < 0.0001); number of cl-days before clabsi acquisition, rising risk 5% per cl-day (aor = 1.05; 95% ci 1.05-1.06; p < 0.0001); medical hospitalization (aor = 1.21; 95% ci 1.04-1.39; p = 0.01); tracheostomy use (aor = 2.02;95% ci 1.43-2.86; p < 0.0001); publicly-owned facility (aor = 3.63; 95% ci 2.54-5.18; p < 0.0001); lower-middle-income country (aor = 1.87; 95% ci 1.41-2.47; p < 0.0001).."
34258686,Antibiotic therapy,No,". utilisation of a continuous antibiotic infusion (cai) instead might have patient and nursing satisfaction, workflow efficiencies and infection control benefits. nursing staff reported that they spent less time throughout their shift attending the antibiotic line or pump in patients who were in the cai arm of the study (p < 0.001). in addition, patients in this arm of the study were more likely to recommend this method of administration of antibiotics to a family member (p =0.0001).."
30795912,PICC dwell time,No,"incidences of central line associated blood stream infection and venous thrombosis were 3.95 and 0.55 per 1000 catheter days, respectively.. ."
35847566,Antibiotic therapy,No,". methods: b-opat is a single-site, randomized, parallel-group, superiority trial recruiting 90 adult inpatients hospitalized with oud and siri who require at least 2 weeks of intravenous (iv) antibiotic therapy.."
36113076,PICC dwell time,No,a very low incidence of both symptomatic catheter-related thrombosis (0.9%) and catheter-related blood stream infection (0.56 episodes per 1000 catheter days) was found.. .
29293304,Antibiotic-coated catheters,No,"a number of strategies have been used to minimize the occurrence of cvad- and picc-associated complications such as antimicrobial-impregnated lines for prevention of infection, or addition of a valve (valved catheters) to prevent occlusion by preventing reflux of blood into the catheter.. ."
29293304,Antibiotic therapy,No,". a number of strategies have been used to minimize the occurrence of cvad- and picc-associated complications such as antimicrobial-impregnated lines for prevention of infection, or addition of a valve (valved catheters) to prevent occlusion by preventing reflux of blood into the catheter.."
30845210,Advanced Age,Yes,"risk factors, such as receiving chemotherapy (or 54.911; 95% ci, 2.755-1094.326), presence of diabetes (or 11.712; 95% ci, 1.513-90.665), and advanced age (or 1.116; 95% ci 1.007-1.238), were correlated with pbsi-related death.. . furthermore, pbsi-related death was common in patients undergoing chemotherapy, diabetics, and elderly patients.."
30845210,Two or more lumens,Yes,". number of catheter lumens [double lumen, odds ratio (or) 5.295; 95% confidence interval (ci), 2.220-12.627; hazard ration (hr) 3.569; 95% ci, 1.461-8.717], picc for chemotherapy (or 4.94; 95% ci, 1.686-14.458; hr 7.635; 95% ci, 2.775-21.007), and hospital length of stay (or 2.23; 95% ci, 1.234-4.049; hr 1.249; 95% ci, 0.659-2.368) were associated with pbsi. conclusion: our results indicated that risk factors associated with pbsi included the number of catheter lumens, the use of piccs for chemotherapy, and the hospital length of stay.."
30845210,Hospital length of stay,Yes,"number of catheter lumens [double lumen, odds ratio (or) 5.295; 95% confidence interval (ci), 2.220-12.627; hazard ration (hr) 3.569; 95% ci, 1.461-8.717], picc for chemotherapy (or 4.94; 95% ci, 1.686-14.458; hr 7.635; 95% ci, 2.775-21.007), and hospital length of stay (or 2.23; 95% ci, 1.234-4.049; hr 1.249; 95% ci, 0.659-2.368) were associated with pbsi. conclusion: our results indicated that risk factors associated with pbsi included the number of catheter lumens, the use of piccs for chemotherapy, and the hospital length of stay.. ."
32367764,Medical department admission (including ICU),No,"in the experience of the vascular access team of our hospital, hit by the covid epidemic in march 2020, the safety of both the patient and the staff can be ensured by an insertion bundle of few smart strategies, which include choice of long dwelling peripheral catheters (midline catheters) rather than short venous cannulas; use of power injectable peripherally inserted central catheters in the covid patients in intensive care unit requiring a central line; use of wireless probes-easy to carry, easy to clean-for ultrasound guided venipuncture; avoidance of x-rays, using alternative methods for tip location such as intracavitary electrocardiography or trans-thoracic echocardiography; strict adoption of the barrier precautions recommended by the international guidelines.. ."
32367764,Power-injectable piccs,No,". in the experience of the vascular access team of our hospital, hit by the covid epidemic in march 2020, the safety of both the patient and the staff can be ensured by an insertion bundle of few smart strategies, which include choice of long dwelling peripheral catheters (midline catheters) rather than short venous cannulas; use of power injectable peripherally inserted central catheters in the covid patients in intensive care unit requiring a central line; use of wireless probes-easy to carry, easy to clean-for ultrasound guided venipuncture; avoidance of x-rays, using alternative methods for tip location such as intracavitary electrocardiography or trans-thoracic echocardiography; strict adoption of the barrier precautions recommended by the international guidelines.."
34750685,Antibiotic therapy,No,". we investigate the risk factors for hap among patients with ich and study the antibiotic use and medical costs of mdr infection. as for the antibiotic treatment, there were no difference in the duration of use days and total dose per patient between mdr and non-mdr group, except for tigecycline. antibiotic costs for the mdr group were significantly higher than those for the non-mdr group and no infection group (p < 0.001).."
24090605,Acute myeloid leukemia,No,infections increase the risk of central venous catheter-related thrombosis in adult acute myeloid leukemia..
37114756,Medical department admission (including ICU),Yes,"multinational prospective study of incidence and risk factors for central-line-associated bloodstream infections in 728 intensive care units of 41 asian, african, eastern european, latin american, and middle eastern countries over 24 years.. . the icu type with highest risk was adult oncology (aor, 4.35; 95% ci, 3.11-6.09; p < .0001), followed by pediatric oncology (aor, 2.51;95% ci, 1.57-3.99; p < .0001), and pediatric (aor, 2.34; 95% ci, 1.81-3.01; p < .0001). conclusions: the following clabsi risk factors are unlikely to change: country income level, facility ownership, hospitalization type, and icu type.."
37114756,Hospital length of stay,Yes,". we analyzed 11 variables, and the following variables were independently and significantly associated with clabsi: length of stay (los), risk increasing 3% daily (aor, 1.03; 95% ci, 1.03-1.04; p < .0001), number of cl days, risk increasing 4% per cl day (aor, 1.04; 95% ci, 1.03-1.04; p < .0001), surgical hospitalization (aor, 1.12; 95% ci, 1.03-1.21; p < .0001), tracheostomy use (aor, 1.52; 95% ci, 1.23-1.88; p < .0001), hospitalization at a publicly owned facility (aor, 3.04; 95% ci, 2.31-4.01; p <.0001) or at a teaching hospital (aor, 2.91; 95% ci, 2.22-3.83; p < .0001), hospitalization in a middle-income country (aor, 2.41; 95% ci, 2.09-2.77; p < .0001).."
23002096,Parenteral nutrition,No,"background: although home parenteral nutrition (hpn) is often indicated in cancer patients, many physicians are concerned about the risks potentially associated with the use of central venous access devices (vads) in these patients.."
25656251,Antibiotic therapy,No,". methods: prospective follow-up of consecutive piccs inserted for intravenous (iv) antibiotics in adults with cf or with non-cf bronchiectasis at cochin hospital (paris, france). patients' satisfaction was high and picc could be used to perform antibiotic courses in most patients.."
28651885,Antibiotic therapy,No,. this study aimed to present a case series illustrating the use of stimulan calcium sulfate beads loaded with vancomycin and tobramycin to increase the rate of salvage of the infected implant and forgo iv antibiotics..
25198813,Power-injectable piccs,No,"purpose: few randomized studies have investigated the impact of valved and non-valved power-injectable peripherally inserted central catheters (piccs) in terms of incidence of occlusion, infection, malfunction and venous thrombosis. one hundred and eighty adult patients candidate to chemotherapy were randomized into three groups: power-injectable piccs with solo-2 proximal valve (bard); power-injectable piccs with pasv (pressure activated safety valve) proximal valve (navilyst); and non-valved power-injectable piccs (medcomp).. ."
30391696,Two or more lumens,No,". confirmed episodes of crbsi (2 versus 13%, χ(2) = 6.625, p = 0.036) were more frequent with multilumen catheters.."
37576517,Antibiotic therapy,No,". our study focuses on investigating the clinical characteristics and risk factors for death of klebsiella pneumoniae infections in ap patients, further to quantify the prognosis of the patients, and provide evidence for guiding antibiotic use and improving prognosis. pneumoniae to commonly used antibiotics in clinical practice was high, especially crkp, which was only sensitive to sulfamethoxazole-trimethoprim (smz-tmp) and tigecycline (tgc) (resistance rates were 37.57% and 17.57%, respectively).."
33298237,Parenteral nutrition,Yes,"parenteral nutrition (odds ratio [or], 3.40; 95% confidence interval [ci], 1.77-6.52) and admission to the hematology ward (or, 4.90; 95% ci, 2.25-10.71) were independently associated with crbsi and pb, respectively.."
33298237,PICC dwell time,No,"compared to pb, crbsi showed significantly different risk factors, a higher incidence density per catheter days, and a shorter median time to infection.. ."
33298237,Medical department admission (including ICU),No,". parenteral nutrition (odds ratio [or], 3.40; 95% confidence interval [ci], 1.77-6.52) and admission to the hematology ward (or, 4.90; 95% ci, 2.25-10.71) were independently associated with crbsi and pb, respectively. admission to the hematology ward (or, 12.46; 95% ci, 2.49-62.50) or to the oncology ward (or, 7.89; 95% ci, 1.77-35.16) was independently associated with uedvt.."
25852128,Parenteral nutrition,No,environmental risk factors for developing catheter-related bloodstream infection in home parenteral nutrition patients: a 6-year follow-up study..
25852128,PICC dwell time,No,hickman catheters managed by a home care nurse had a significantly increased mean (sd) incidence of crbsi of 1.45 (0.68) per 1000 catheter days.. .
29595367,Antibiotic therapy,No,. lessons learned from the implementation of a medically enhanced residential treatment (mert) model integrating intravenous antibiotics and residential addiction treatment. our lessons may be applicable to future models integrating post-hospital intravenous antibiotics and sud care..
31674857,Chemotherapy,No,"background and objectives: the increasing use of arm totally implantable vascular access devices for breast cancer patients who require chemotherapy has led to a greater risk of complications and failures and, in particular, to upper extremity deep vein thrombosis.. ."
34699089,Antibiotic therapy,No,". few opat studies have assessed the impact of iv antibiotic therapy via elastomeric continuous pumps, with most having been conducted outside the united states and few in county hospitals.."
32205954,Medical department admission (including ICU),Yes,abbreviations list: abhr: alcohol-based hand rub; aicd: automated implantable cardioverter defibrillator; bsi: blood stream infection; c/ss: chg/silver sulfadiazine; cath lab: catheterization laboratory (cardiac cath lab); cdc: centers for disease control and prevention; cfu: colony forming unit; chg: chlorhexidine gluconate; cl: central line; combux: comparison of bedside ultrasound with chest x-ray (combux study); cqi: continuous quality improvement; crbsi: catheter-related blood stream infection; cus: chest ultrasonography; cvc: central venous catheter; cxr: chest x-ray; dttp: differential time to positivity; dvt: deep venous thrombosis; ecg: electrocardiography; elvis: ethanol lock and risk of hemodialysis catheter infection in critically ill patients; er: emergency room; fda: food and drug administration; fv: femoral vein; gwe: guidewire exchange; hd catheter: hemodialysis catheter; hts: hypertonic saline; icp: intracranial pressure; icu: intensive care unit; idsa: infectious disease society of america; ijv: internal jugular vein; ipc: indian penal code; irr: incidence rate ratio; isccm: indian society of critical care medicine; iv: intravenous; lcbi: laboratory confirmed blood stream infection; m/r: minocycline/rifampicin; mbi-lcbi: mucosal barrier injury laboratory-confirmed bloodstream infection; mrsa: methicillin-resistant staphylococcus aureus; nhs: national health service (uk); nhsn: national healthcare safety network (usa); ot: operation theater; picc: peripherally-inserted central catheter; piv: peripheral intravenous line; pl: peripheral line; pvi: povidone-iodine; ra: right atrium; rct: randomized controlled trial; rr: relative risk; scv/sv: subclavian vein; scvo(2): central venous oxygen saturation; sn: sensitivity; sop: standard operating procedure; svc: superior vena cava; tee: transesophageal echocardiography; upp: useful practice points; usg: ultrasonography; who: world health organization.. .
25987475,Seasonality (summer / warm),Yes,the correlation between seasonality and peripherally inserted central catheter-related infections in cancer patients.. .
