PMID,FACTOR,TEXT
36845901,Antibiotic therapy,"an observational study on the use of long acting buprenorphine (sublocade) and a tamper resistant picc for outpatient iv antibiotic administration in patients with serious infections and opioid use disorder; the stop oud project. what is stop oud? the stop oud project is an observational study on the use of long-acting buprenorphine (sublocade) and a tamper resistant picc clamp for outpatient iv antibiotic administration in patients with serious infections and opioid use disorder (stop oud). these infections require prolonged courses of antibiotics, often resulting in lengthy hospital stays. extended hospitalizations for monitored parenteral antibiotics for patients with opioid use disorder are challenging for patients, reduce bed capacity, and are associated with significant cost. this observational study reviews the administration of intravenous (iv) antibiotics in a monitored outpatient setting using long-acting injectable buprenorphine (sublocade, indivior inc., north chesterfield, va) and a tamper resistant clamp in patients with opioid use disorder . eleven of thirteen stop oud project participants completed their antibiotic courses as prescribed, there was no evidence of peripherally inserted central catheter (picc) tampering, and they rated their care as a mean of 4.9/5 (sd 0.4)."
36845901,Hospital length of stay,"conclusions: the stop oud project reduced hospital length of stay for patients with opioid use disorder and serious infections, and had a favorable financial impact."
28218360,PICC dwell time,"results: during 4963 catheter days and after 709 dressing changes (documented by 373 pictures), the use of sas was associated with no episode of picc dislodgement and a lower incidence of complications if compared to traditional securement devices."
24911379,Hospital length of stay,"additionally, in conditional univariate analyses, length of stay, malnutrition, and after-hours placement were associated with increased risk of catheter-associated thrombosis. conclusions: screening of patients undergoing picc placement with attention to malnutrition, bmi >30, and length of stay may reduce the risk of picc-associated complications."
28540264,PICC dwell time,"we employed univariate analysis to explore the relationship of various factors, including leukemia types, puncture times, underlying diseases, catheter indwelling time, hormones use, chemotherapy use, immune functions and seasons, with the incidence of cri. univariate analysis showed that puncture times, underlying diseases, catheter indwelling time, hormones use, chemotherapy use, immune functions and seasons were significantly correlated with the incidence of cri."
28540264,Acute myeloid leukemia,"analysis of risk factors of peripherally inserted central catheter induced catheter-related infection in patients with leukemia. background: peripherally inserted central catheter (picc) is commonly used in nursing for patients with leukemia. the purpose of this study was to investigate the risk factors of catheter-related infection (cri) in patients with leukemia and to provide some nursing strategies based on the results. methods: clinical data from 140 patients with leukemia between may 2014 and july 2016 in haiyang people's hospital, china were retrospectively analyzed. we employed univariate analysis to explore the relationship of various factors, including leukemia types, puncture times, underlying diseases, catheter indwelling time, hormones use, chemotherapy use, immune functions and seasons, with the incidence of cri. results: among the 140 patients with leukemia, 25 cases were diagnosed as cri, with the incidence of 17.9%. conclusion: based on risk factors of cri and its etiological distribution, appropriate nursing measures can be taken to reduce the incidence of cri in patients with leukemia."
28540264,Immunosuppression,"we employed univariate analysis to explore the relationship of various factors, including leukemia types, puncture times, underlying diseases, catheter indwelling time, hormones use, chemotherapy use, immune functions and seasons, with the incidence of cri. univariate analysis showed that puncture times, underlying diseases, catheter indwelling time, hormones use, chemotherapy use, immune functions and seasons were significantly correlated with the incidence of cri. multivariate logistic regression analysis revealed that immune functions, puncture times and seasons were independent risk factors for cri."
28540264,Seasonality (summer / warm),"we employed univariate analysis to explore the relationship of various factors, including leukemia types, puncture times, underlying diseases, catheter indwelling time, hormones use, chemotherapy use, immune functions and seasons, with the incidence of cri. univariate analysis showed that puncture times, underlying diseases, catheter indwelling time, hormones use, chemotherapy use, immune functions and seasons were significantly correlated with the incidence of cri. multivariate logistic regression analysis revealed that immune functions, puncture times and seasons were independent risk factors for cri."
37736715,Chemotherapy,"clinical characteristics of peripherally inserted central catheter-related complications in cancer patients undergoing chemotherapy: a prospective and observational study. the purpose of this study was to investigate the clinical characteristics of picc-related complications in cancer patients undergoing chemotherapy. conclusions: picc-related complications were pretty common in cancer patients undergoing chemotherapy. because more than half of the patients with picc-related complications could be managed with conventional interventions, piccs remain a priority for cancer patients undergoing short-term chemotherapy."
32569313,PICC dwell time,"to identifying statistical correlations between catheter days and pabsi, the odds ratio for pabsi on the basis of the continuous value of catheter days was analyzed using restricted cubic spline splits with five knots. the optimal cut-off value for catheter days was identified by maximizing the area under the receiver operating characteristic (roc) curve (auc). among them, 36 were confirmed as having a pabsi (3.5%, 36/1014; 1.14 per 1000 catheter days). in the restricted cubic spline regression, catheter days showed a dose-dependent relationship with the risk of pabsi. conclusion: the incidence of pabsi was 1.14 per 1000 catheter days and the optimal cut-off value of catheter days to avoid a pabsi was 25 days. this study was conducted to evaluate the appropriate duration of picc maintenance to prevent clabsi. appropriate duration of peripherally inserted central catheter maintenance to prevent central line-associated bloodstream infection. background/aim: prolonged maintenance of central venous catheters, including peripherally inserted central catheters (piccs), is a major risk factor for central line-associated bloodstream infection (clabsi)."
27240799,Antibiotic-coated catheters,the impact of chlorhexidine (chg)-impregnated versus non-chg peripherally inserted central catheters (piccs) on risk of clabsi is unknown. methods: patients in 3 high-risk units were randomly assigned to receive either a chg-impregnated or non-chg picc line. a comparative evaluation of antimicrobial coated versus nonantimicrobial coated peripherally inserted central catheters on associated outcomes: a randomized controlled trial. research has demonstrated benefit in reducing clabsis when cvcs coated with antimicrobials are inserted.
27240799,Antibiotic therapy,a comparative evaluation of antimicrobial coated versus nonantimicrobial coated peripherally inserted central catheters on associated outcomes: a randomized controlled trial. research has demonstrated benefit in reducing clabsis when cvcs coated with antimicrobials are inserted.
37435240,Medical department admission (including ICU),background central line-associated bloodstream infection (clabsi) is among the most common bloodstream infections in the university hospital and intensive care unit settings.
35862722,Medical department admission (including ICU),
33908337,Antibiotic-coated catheters,"coated and impregnated catheters were identified by name, brand, and device marketing or regulatory materials. multivariable cox proportional hazards models with robust sandwich standard error estimates accounting for the clustered nature of data were used to identify factors associated with picc complications in coated versus noncoated devices across general care, intensive care unit (icu), and oncology patients."
33908337,Antibiotic therapy,"do antimicrobial and antithrombogenic peripherally inserted central catheter (picc) materials prevent catheter complications? an analysis of 42,562 hospitalized medical patients. objective: to examine the effectiveness of antimicrobial and antithrombogenic materials incorporated into peripherally inserted central catheters (piccs) to prevent bloodstream infection, thrombosis, and catheter occlusion. results: of 42,562 patients with a picc, 39,806 (93.5%) were plain polyurethane, 2,263 (5.3%) incorporated antimicrobial materials, and 921 (2.2%) incorporated antithrombogenic materials. adjusting for known risk factors, antimicrobial piccs were not associated with infection reduction (hr, 1.16; 95% ci, 0.82-1.64), and antithrombogenic piccs were not associated with reduction in thrombosis and occlusion (hr, 1.15; 95% ci, 0.92-1.44). conclusions: antimicrobial and antithrombogenic piccs were not associated with a reduction in major catheter complications."
33908337,Medical department admission (including ICU),"multivariable cox proportional hazards models with robust sandwich standard error estimates accounting for the clustered nature of data were used to identify factors associated with picc complications in coated versus noncoated devices across general care, intensive care unit (icu), and oncology patients."
25953205,Advanced Age,"after multivariate analysis, two risk factors were significantly associated with the overall occurrence of complications: age more than 70 years [or = 2.89 (1.06-7.89], p = 0.04] and number of lumen at least two [or = 2.64 (1.03-6.75), p = 0.04]."
29489707,Two or more lumens,the discovery that alteplase use increased with the number of picc lumens allowed for exploration of ordering and placement practices.
34973357,Two or more lumens,"in multivariate cox analysis, independent risk factors for picc-associated complications were obesity (adjusted hazard ratio (ahr), 1.08, p < .001) and diabetes (ahr, 1.85, p = .039), adjusting for chronic renal failure, number of lumens, catheter/vein diameter ratio and duration of home-based care. the number of catheter lumens is one of the modifiable factors to reduce complications."
33652363,Two or more lumens,"additionally, 21% of respondents stated they did not specify number of cvc lumens, while 46% did not specify number of picc lumens (p < 0.001). the likelihood of specifying picc lumens increased when vascular access protocols were in place (p = 0.001)."
33652363,Medical department admission (including ICU),purpose: vascular access patterns in the intensive care unit (icu) have shifted from non-tunneled central venous catheters (cvcs) towards peripherally inserted central catheters (piccs).
36960818,Two or more lumens,"nudging to select single-lumen over multiple-lumen peripherally inserted central catheters (piccs) in a large safety net system. compared to multilumen piccs, single-lumen piccs carry a lower rate of complications, including central-line-associated bloodstream infection and thrombosis. despite this, multilumen piccs are still overused."
26519981,Medical department admission (including ICU),complication rates among peripherally inserted central venous catheters and centrally inserted central catheters in the medical intensive care unit. purpose: there are limited contemporary data describing the rates of catheter-related deep vein thrombosis (crdvt) and central line-associated bloodstream infection for peripherally inserted central venous catheters (piccs) and centrally inserted central venous catheters (ciccs) in the medical intensive care unit (icu).
35382174,Medical department admission (including ICU),"background:  central line-associated bloodstream infections (clabsis) remain an important preventable healthcare-associated infection with a 2020 rate of 0.87 (per 1,000 central line days) in the united states intensive care units (icu)."
25377903,PICC dwell time,"results: of the 163 patients who represented 19104 home-catheter days, 19 (11.7%) patients experienced 25 catheter complications (ccs; 12 occlusions, 11 central line-associated bloodstream infections, one thrombosis and one line dislodgment)."
33019880,Chemotherapy,"safe use of peripherally inserted central catheters for chemotherapy of solid malignancies in adult patients: a 1-year monocentric, prospectively-assessed, unselected cohort of 482 patients. introduction: aim of this study was to analyze the overall complication and failure rates of peripherally inserted central catheters (piccs), in a 1-year consecutive unselected cohort of 482 adult patients, affected by non-hematological malignancies undergoing chemotherapy. methods: adult outpatients (aged 18-75 years), with an eastern cooperative oncology group (ecog) performance status of 0-2, bearing solid tumors and candidates for intravenous chemotherapy were eligible for the study. conclusion: this large prospective study supports the increasing use of piccs in adult oncology outpatients treated in specialized centers with chemotherapy for non-hematological malignancies."
30348912,Advanced Age,"the rate of blockage of piccs, proportion of male subjects, age of subjects, apache ii score and length of stay in hospital showed no significant differences between the two groups."
30348912,Hospital length of stay,"the rate of blockage of piccs, proportion of male subjects, age of subjects, apache ii score and length of stay in hospital showed no significant differences between the two groups."
25248408,PICC dwell time,the cr-bsi rate in the picc group was significantly lower than that in the ccvc group (piccs: 1.23/1000 catheter days; ccvcs: 5.30/1000 catheter days; p < 0.01).
33084898,Antibiotic therapy,"importance: peripherally inserted central catheters (piccs) are frequently used to deliver intravenous antimicrobial therapy. objective: to evaluate whether infectious disease physician approval prior to picc placement for intravenous antimicrobials is associated with more appropriate device use and fewer complications. design, setting, and participants: this cohort study of 21 653 piccs placed for a primary indication of intravenous antimicrobial therapy between january 1, 2015, and july 26, 2019, was conducted in 42 hospitals participating in a quality collaborative across michigan among hospitalized medical patients. results: a total of 21 653 piccs were placed for intravenous antimicrobials (11 960 piccs were placed in men [55.2%]; median age, 64.5 years [interquartile range, 53.4-75.4 years]); 10 238 piccs (47.3%) were approved by an infectious disease physician prior to placement. conclusions and relevance: this cohort study suggests that, when piccs were placed for intravenous antimicrobial therapy, infectious disease physician approval of picc insertion was associated with more appropriate device use and fewer complications. policies aimed at ensuring infectious disease physician approval prior to picc placement for antimicrobials may improve patient safety."
28822403,Medical department admission (including ICU),"inpatient peripherally inserted central venous catheter complications: should peripherally inserted central catheter lines be placed in the intensive care unit setting? . peripherally inserted central venous catheters (piccs) are now commonly used for central access in the intensive care unit (icu) setting; however, there is a paucity of data evaluating the complication rates associated with these lines."
27397766,PICC dwell time,"discussion: midline catheters (mc) offer a comparable rate of device-related bloodstream infection to standard peripheral intravenous catheters (piv), but with a significantly lower rate than peripherally inserted central catheters (picc) and central venous catheters (cvc) (piv 0.2/1000, mc 0.5/1000, picc 2.1-2.3/1000, cvc 2.4-2.7/1000 catheter days)."
25782897,Medical department admission (including ICU),objective: little is known about patient-specific factors contributing to central line-associated bloodstream infection (clabsi) outside of the intensive care unit (icu).
26368787,Hospital length of stay,"objective: to estimate, from a us payer perspective, the cost offsets of treating gram positive acute bacterial skin and skin-structure infections (absssi) with varied hospital length of stay (los) followed by outpatient care, as well as the cost implications of avoiding hospital admission. the value of new absssi therapies will be driven by eliminating the need for picc line, reducing length of stay and the ability to completely avoid a hospital stay. total non-drug cost for absssi treated in the inpatient setting ranged from $9813 (3 days los) to $18,014 (7 days los)."
31387123,Antibiotic therapy,"background: a key factor in the successful treatment of periprosthetic joint infection is the consistent antimicrobial therapy. depending on the pathogen antimicrobial susceptibility, intravenous (i. v.) antibiotics may not be switched to oral medication at patient discharge, without risking a treatment failure. therapy using peripherally inserted central catheters (piccs) allows for early discharge with continuation of adequate antimicrobial therapy. antimicrobial therapy for treatment of periprosthetic joint infection. outpatient parenteral antibiotic therapy (opat) with peripherally inserted central catheter in patients with periprosthetic joint infection. inclusion criterion was the detection of a pathogen that cannot be optimally treated with oral antibiotics according to the current treatment concept (trampuz et al.)."
26269383,Parenteral nutrition,"comparison of complications associated with peripherally inserted central catheters and hickman™ catheters in patients with intestinal failure receiving home parenteral nutrition. background & aim: patients with intestinal failure (if) are dependent on parenteral nutrition delivered through central access such as hickman™ catheters. patients and methods: over a six-year period (2008-2014), we included 136 patients with if receiving home parenteral nutrition (hpn)."
26269383,PICC dwell time,"incidences are given per 1000 catheter days. results: the total number of catheter days was 54,912 days for hickman™ catheters (mean dwell time 325 ± 402) and 15,974 days for piccs (mean dwell time 127 ± 121), respectively. the incidence of catheter-related blood stream infection (crbsi) per 1000 catheter days was significantly lower for hickman™ catheters compared to piccs (0.56 vs."
31565960,Antibiotic therapy,"results: a total of 82 mc placements and 50 picc placements were included; 50 mcs were for outpatient parenteral antimicrobial therapy, and 32 were for inpatient intravenous use. the antimicrobial classes commonly associated with complications were cephalosporins, carbapenems, and penicillins. this study can help guide our selection of intravenous catheters for the purpose of outpatient antimicrobial therapy."
37146111,Parenteral nutrition,"statistical analysis identified previous marsi history, the need for total parenteral nutrition support, other catheter-related complications, a history of allergy, and picc implantation as associated with a higher likelihood of developing for marsi. conclusions: we evaluated patients with cancer who were undergoing cvad and identified that previous marsi history, patients needing total parenteral nutrition support, other catheter-related complications, allergic history, and picc implantation (compared with ports) were associated with a higher likelihood for developing marsi."
32770871,Parenteral nutrition,"results: twelve clinical evidence summaries containing evidence related to the safe and effective use of central venous catheters are presented, including the following topics: central venous catheter insertion (cvc), peripherally inserted central catheters (picc), preoperative assessment, the use of analgesia, field preparation, choice between cvc or picc, cvc care and maintenance, prevention of complications, and general considerations pertaining to the use of central venous catheters in oncologic patients and in parenteral nutrition."
29377971,Two or more lumens,"compared to piccs placed for >5 days, variables associated with short-term piccs included difficult venous access (odds ratio [or], 1.54; 95% confidence interval [ci], 1.40-1.69), multilumen devices (or, 1.53; 95% ci, 1.39-1.69), and teaching hospitals (or, 1.25; 95% ci, 1.04-1.52)."
35108580,PICC dwell time,"results: of 391 peripherally inserted central catheter (piccs) were inserted in 291 patients for a total of 63,714 catheter days during 7 years, with an infection rate of 0.71/1,000 catheter days. not accompanied by chronic comorbidities (hr 0.34; 95% ci, 0.131-0.887; p = .028) and longer duration of picc use (days) (hr 0.997; 95% ci, 0.994-0.999; p = .008) might be protective factors preventing crbsi."
34663558,Antibiotic therapy,"reducing catheter related bloodstream infection risk of infant with a prophylactic antibiotic therapy before removing peripherally inserted central catheter: a retrospective study. purpose: this study examined the efficacy of prescribing antibiotics, specifically a single dose of vancomycin, in reducing the incidence of culture-positive and culture-negative sepsis prior to the removal of peripherally inserted central catheters (piccs). the incidence of post-catheter removal clinical sepsis between the groups with or without antibiotics was compared. the antibiotic group was defined by receiving a single dose of vancomycin or any other antibiotic prior to line removal. antibiotics were given prior to removal in 257 cases (43.9%) and not given prior to removal in 328 cases (56.1%). a 9.3-fold decrease in the odds for clinical sepsis was observed in the antibiotic group (p = 0.01). the incidence of post-catheter removal sepsis was decreased by a single prophylactic dose of vancomycin (p = 0.02), whereas the use of other antibiotics showed no effect (p = 0.35)."
36767070,Parenteral nutrition,a higher percentage of use of parenteral nutrition (p = 0.036) and transfusions (p = 0.003) was observed during the post-transplant phase in the hospital.
25120012,Parenteral nutrition,purpose: few prospective follow-up studies evaluating the use of peripherally inserted central catheters (piccs) to deliver chemotherapy and/or home parenteral nutrition (hpn) have focused exclusively on oncology outpatients.
25120012,PICC dwell time,"results: two hundred sixty-nine piccs in 250 patients (98 % with solid malignancies) were studied, for a total of 55,293 catheter days (median dwell time 184 days, range 15-1,384). the incidence of catheter-related bloodstream infections (crbsis) was low (0.05 per 1,000 catheter days), picc-related symptomatic thrombosis was rare (1.1 %; 0.05 per 1,000 catheter days), and mechanical complications were uncommon (13.1 %; 0.63 per 1,000 catheter days). the overall complication rate was 17.5 % (0.85 per 1,000 catheter days) and piccs were removed because of complications only in 7 % of cases."
34842905,Two or more lumens,"after adjusting for patient characteristics, comorbidities, catheter lumens, and dwell time in logit models, patients who received piccs had a greater risk of developing a major complication compared with those who received midlines (odds ratio, 1.99; 95% ci, 1.61-2.47)."
36921694,Medical department admission (including ICU),"we analyzed following 10 variables: gender, age, length of stay (los) before clabsi acquisition, cl-days before clabsi acquisition, cl-device utilization (du) ratio, cl-type, tracheostomy use, hospitalization type, intensive care unit (icu) type, and facility ownership, following variables were independently associated with clabsi: los before clabsi acquisition, rising risk 3% daily (aor=1.03;95%ci=1.02-1.04; p < .0001); number of cl-days before clabsi acquisition, rising risk 4% per cl-day (aor=1.04;95%ci=1.03-1.05; p < .0001); publicly-owned facility (aor=2.33;95%ci=1.79-3.02; p < .0001)."
36921694,Hospital length of stay,"we analyzed following 10 variables: gender, age, length of stay (los) before clabsi acquisition, cl-days before clabsi acquisition, cl-device utilization (du) ratio, cl-type, tracheostomy use, hospitalization type, intensive care unit (icu) type, and facility ownership, following variables were independently associated with clabsi: los before clabsi acquisition, rising risk 3% daily (aor=1.03;95%ci=1.02-1.04; p < .0001); number of cl-days before clabsi acquisition, rising risk 4% per cl-day (aor=1.04;95%ci=1.03-1.05; p < .0001); publicly-owned facility (aor=2.33;95%ci=1.79-3.02; p < .0001). conclusions: based on these findings it is suggested to focus on reducing los, cl-days, using picc instead of femoral or internal-jugular; and implementing evidence-based clabsi prevention recommendations."
36507144,Antibiotic-coated catheters,"does the antimicrobial-impregnated peripherally inserted central catheter decrease the clabsi rate in neonates? results from a retrospective cohort study. background: the use of antimicrobial-impregnated peripherally inserted central catheters (piccs) has been introduced in the last few years to neonatal units aiming to reduce central line-associated bloodstream infection (clabsi). methods: this retrospective observational study aimed to compare the clabsi rates and other catheter-related parameters including the insertion success rates and catheter-related complications in the antimicrobial-impregnated and conventional (ordinary) piccs in nicu between 2017 and 2020. results: our dedicated picc team including physicians and nurses inserted 1,242 conventional (premicath and nutriline) and 791 antimicrobial-impregnated piccs (premistar) over the study period from 2017 to 2020. the mean ± sd [median (iqr)] gestational age, birth weight, age at catheter insertion, and catheter dwell time were 28.8 ± 3.24 [29, (26, 31)] weeks, 1,192.1 ± 410.3 [1,150, (900, 1,450)] g, 6.3 ± 10.85 [2, (1, 8)] days, and 17.73 ± 17.532 [13, (9, 18)] days in the antimicrobial-impregnated catheter compared with 30.1 ± 4.39 [29, (27, 32)] weeks (p < 0.001), 1,439.5 ± 800.8 [1,240, (920, 1,520)] g (p < 0.001), 11.1 ± 25.9 [1, (1, 9)] days (p < 0.001), and 14.30 ± 10.964 [12, (8, 17)] days (p < 0.001), respectively, in the conventional piccs. the use of the antimicrobial-impregnated catheter was not associated with any significant reduction in the clabsi rate (per 1,000 days dwell time), either the overall [p = 0.11, risk ratio (rr) (95% ci): 0.60 (0.32, 1.13)] or the yearly clabsi rates. conclusions: the use of miconazole and rifampicin-impregnated piccs did not reduce the clabsi rate in neonates compared with conventional piccs."
36507144,Antibiotic therapy,"does the antimicrobial-impregnated peripherally inserted central catheter decrease the clabsi rate in neonates? results from a retrospective cohort study. background: the use of antimicrobial-impregnated peripherally inserted central catheters (piccs) has been introduced in the last few years to neonatal units aiming to reduce central line-associated bloodstream infection (clabsi). methods: this retrospective observational study aimed to compare the clabsi rates and other catheter-related parameters including the insertion success rates and catheter-related complications in the antimicrobial-impregnated and conventional (ordinary) piccs in nicu between 2017 and 2020. results: our dedicated picc team including physicians and nurses inserted 1,242 conventional (premicath and nutriline) and 791 antimicrobial-impregnated piccs (premistar) over the study period from 2017 to 2020. the mean ± sd [median (iqr)] gestational age, birth weight, age at catheter insertion, and catheter dwell time were 28.8 ± 3.24 [29, (26, 31)] weeks, 1,192.1 ± 410.3 [1,150, (900, 1,450)] g, 6.3 ± 10.85 [2, (1, 8)] days, and 17.73 ± 17.532 [13, (9, 18)] days in the antimicrobial-impregnated catheter compared with 30.1 ± 4.39 [29, (27, 32)] weeks (p < 0.001), 1,439.5 ± 800.8 [1,240, (920, 1,520)] g (p < 0.001), 11.1 ± 25.9 [1, (1, 9)] days (p < 0.001), and 14.30 ± 10.964 [12, (8, 17)] days (p < 0.001), respectively, in the conventional piccs. the use of the antimicrobial-impregnated catheter was not associated with any significant reduction in the clabsi rate (per 1,000 days dwell time), either the overall [p = 0.11, risk ratio (rr) (95% ci): 0.60 (0.32, 1.13)] or the yearly clabsi rates. neonatal piccs impregnation by other antimicrobials is a recommendation for vascular access device manufacturers."
25374804,Medical department admission (including ICU),"some limits previously ascribed to piccs (i.e., low flow rates, difficult central venous pressure monitoring, lack of safety for radio-diagnostic procedures, single-lumen) have delayed their start up in the intensive care units as common practice."
37151085,Medical department admission (including ICU),
37151085,Hospital length of stay,"we analyzed following variables: gender, age, length of stay (los) before clabsi acquisition, cl-days before clabsi acquisition, cl-device utilization ratio, cl-type, tracheostomy use, hospitalization type, icu type, facility ownership and world bank classifications by income level. following were independently associated with clabsi: los before clabsi acquisition, rising risk 4% daily (aor = 1.04; 95% ci = 1.03-1.04; p < 0.0001); number of cl-days before clabsi acquisition, rising risk 5% per cl-day (aor = 1.05; 95% ci 1.05-1.06; p < 0.0001); medical hospitalization (aor = 1.21; 95% ci 1.04-1.39; p = 0.01); tracheostomy use (aor = 2.02;95% ci 1.43-2.86; p < 0.0001); publicly-owned facility (aor = 3.63; 95% ci 2.54-5.18; p < 0.0001); lower-middle-income country (aor = 1.87; 95% ci 1.41-2.47; p < 0.0001). based on these findings it is suggested to focus on reducing los, cl-days, and tracheostomy; using subclavian or picc instead of internal-jugular or femoral; and implementing evidence-based clabsi prevention recommendations."
34258686,Antibiotic therapy,"the mobilise study: utilisation of ambulatory pumps in the inpatient setting to administer continuous antibiotic infusions-a randomised controlled trial. in the inpatient setting, antibiotics are generally administered via bedside pumps with multiple daily dosing. utilisation of a continuous antibiotic infusion (cai) instead might have patient and nursing satisfaction, workflow efficiencies and infection control benefits. we aimed to study the utilisation of cai in the inpatient setting for routine antibiotic administration. patients receiving a peripherally inserted central venous catheter (picc) for antibiotic administration were screened for the study. the patients were randomised to either (1) standard pump and intermittent antibiotic administration (iaa) or (2) cai via an ambulatory pump. nursing staff reported that they spent less time throughout their shift attending the antibiotic line or pump in patients who were in the cai arm of the study (p < 0.001). in addition, patients in this arm of the study were more likely to recommend this method of administration of antibiotics to a family member (p =0.0001)."
30795912,PICC dwell time,"complications/1000 catheter days were extracted, and a poisson model was used to compare complications between piccs and broviacs®. results: thirty-seven patients with if were included, accounting for 19,452 catheter days. incidences of central line associated blood stream infection and venous thrombosis were 3.95 and 0.55 per 1000 catheter days, respectively. there were no significant differences in complication rates per line per catheter day between piccs and broviacs® on multivariate analysis."
35847566,Antibiotic therapy,"design and protocol of the buprenorphine plus outpatient parenteral antimicrobial therapy (b-opat) study: a randomized clinical trial of integrated outpatient treatment of opioid use disorder and severe, injection-related infections. outpatient parenteral antibiotic therapy (opat) is typically not offered to persons with opioid use disorder (oud) and siri, though increasing evidence suggests it may be feasible and safe. methods: b-opat is a single-site, randomized, parallel-group, superiority trial recruiting 90 adult inpatients hospitalized with oud and siri who require at least 2 weeks of intravenous (iv) antibiotic therapy. the infection outcomes are completion of recommended iv antibiotic therapy, peripherally inserted central catheter (picc) complications, and readmission related to primary siri."
36113076,PICC dwell time,"median dwelling time of cvads was 172 days, for a total number of 39,044 catheter days. a very low incidence of both symptomatic catheter-related thrombosis (0.9%) and catheter-related blood stream infection (0.56 episodes per 1000 catheter days) was found."
29293304,Antibiotic-coated catheters,"a number of strategies have been used to minimize the occurrence of cvad- and picc-associated complications such as antimicrobial-impregnated lines for prevention of infection, or addition of a valve (valved catheters) to prevent occlusion by preventing reflux of blood into the catheter."
29293304,Antibiotic therapy,"a number of strategies have been used to minimize the occurrence of cvad- and picc-associated complications such as antimicrobial-impregnated lines for prevention of infection, or addition of a valve (valved catheters) to prevent occlusion by preventing reflux of blood into the catheter."
30845210,Advanced Age,"risk factors, such as receiving chemotherapy (or 54.911; 95% ci, 2.755-1094.326), presence of diabetes (or 11.712; 95% ci, 1.513-90.665), and advanced age (or 1.116; 95% ci 1.007-1.238), were correlated with pbsi-related death. furthermore, pbsi-related death was common in patients undergoing chemotherapy, diabetics, and elderly patients."
30845210,Two or more lumens,"number of catheter lumens [double lumen, odds ratio (or) 5.295; 95% confidence interval (ci), 2.220-12.627; hazard ration (hr) 3.569; 95% ci, 1.461-8.717], picc for chemotherapy (or 4.94; 95% ci, 1.686-14.458; hr 7.635; 95% ci, 2.775-21.007), and hospital length of stay (or 2.23; 95% ci, 1.234-4.049; hr 1.249; 95% ci, 0.659-2.368) were associated with pbsi. conclusion: our results indicated that risk factors associated with pbsi included the number of catheter lumens, the use of piccs for chemotherapy, and the hospital length of stay."
30845210,Hospital length of stay,"number of catheter lumens [double lumen, odds ratio (or) 5.295; 95% confidence interval (ci), 2.220-12.627; hazard ration (hr) 3.569; 95% ci, 1.461-8.717], picc for chemotherapy (or 4.94; 95% ci, 1.686-14.458; hr 7.635; 95% ci, 2.775-21.007), and hospital length of stay (or 2.23; 95% ci, 1.234-4.049; hr 1.249; 95% ci, 0.659-2.368) were associated with pbsi. conclusion: our results indicated that risk factors associated with pbsi included the number of catheter lumens, the use of piccs for chemotherapy, and the hospital length of stay."
32367764,Medical department admission (including ICU),"in the experience of the vascular access team of our hospital, hit by the covid epidemic in march 2020, the safety of both the patient and the staff can be ensured by an insertion bundle of few smart strategies, which include choice of long dwelling peripheral catheters (midline catheters) rather than short venous cannulas; use of power injectable peripherally inserted central catheters in the covid patients in intensive care unit requiring a central line; use of wireless probes-easy to carry, easy to clean-for ultrasound guided venipuncture; avoidance of x-rays, using alternative methods for tip location such as intracavitary electrocardiography or trans-thoracic echocardiography; strict adoption of the barrier precautions recommended by the international guidelines."
32367764,Power-injectable piccs,"in the experience of the vascular access team of our hospital, hit by the covid epidemic in march 2020, the safety of both the patient and the staff can be ensured by an insertion bundle of few smart strategies, which include choice of long dwelling peripheral catheters (midline catheters) rather than short venous cannulas; use of power injectable peripherally inserted central catheters in the covid patients in intensive care unit requiring a central line; use of wireless probes-easy to carry, easy to clean-for ultrasound guided venipuncture; avoidance of x-rays, using alternative methods for tip location such as intracavitary electrocardiography or trans-thoracic echocardiography; strict adoption of the barrier precautions recommended by the international guidelines."
34750685,Antibiotic therapy,"we investigate the risk factors for hap among patients with ich and study the antibiotic use and medical costs of mdr infection. binary logistics regression indicated hospital duration, antibiotic exposure, and urinary catheter insertion explained 91.4% of the variance on hap (p < 0.01). as for the antibiotic treatment, there were no difference in the duration of use days and total dose per patient between mdr and non-mdr group, except for tigecycline. antibiotic costs for the mdr group were significantly higher than those for the non-mdr group and no infection group (p < 0.001)."
24090605,Acute myeloid leukemia,infections increase the risk of central venous catheter-related thrombosis in adult acute myeloid leukemia. introduction: central venous catheters (cvc) related thrombosis (crt) represents a well known complication in patients with acute myeloid leukemia (aml) receiving intensive chemotherapy but the efficacy of antithrombotic prophylaxis still remains controversial.
37114756,Medical department admission (including ICU),"multinational prospective study of incidence and risk factors for central-line-associated bloodstream infections in 728 intensive care units of 41 asian, african, eastern european, latin american, and middle eastern countries over 24 years."
